c,i,id,l1_c,l1_i,language,type
organising,giving,person_1939,組織,与えて,Japanese,RV
Sincerely,Faithfully,person_1939,誠実,忠実,Japanese,RY
glass,grass,person_1939,ガラス,草,Japanese,RN
life,living,person_1939,人生,リビング,Japanese,RN
minors,minority,person_1939,未成年 者,少数 派,Japanese,RN
glass,glasses,person_1939,ガラス,メガネ,Japanese,RN
Also,Otherwise,person_1939,また,さもなければ,Japanese,RY
very,too,person_1939,とても,すぎる,Japanese,RY
height,high,person_1939,高さ,高,Japanese,RN
height,high,person_1939,高さ,高,Japanese,RN
organized,realized,person_2638,編成,実現,Japanese,RV
held,realized,person_2638,開催,実現,Japanese,RV
held,realized,person_2638,開催,実現,Japanese,RV
do,put,person_2638,行う,置く,Japanese,RV
time,moment,person_2638,時間,瞬間,Japanese,RN
man,humanity,person_2638,男,人類,Japanese,RN
discuss,think,person_271,話し合う,考える,Japanese,RV
affect,effect,person_271,影響,効果,Japanese,RV
does,is,person_216,は,は,Japanese,RV
trip,travel,person_216,旅行,旅行,Japanese,RN
can,might,person_548,できます,かもしれない,Japanese,RV
become,be,person_548,なる,される,Japanese,RV
have,behave,person_548,持って,振る舞う,Japanese,RV
older,elder,person_3139,古い,姉,Japanese,RJ
started,stared,person_3139,開始,見つめて いた,Japanese,RV
nice,good,person_3176,ニース,良い,Japanese,RJ
attractive,pretty,person_3176,魅力的,かなり,Japanese,RJ
desert,dessert,person_3176,砂漠,デザート,Japanese,RN
kinds,kids,person_3176,種類,子供,Japanese,RN
institutions,services,person_3176,機関,サービス,Japanese,RN
involves,is,person_3176,伴います,は,Japanese,RV
So,Then,person_3039,ので,それから,Japanese,RY
monuments,heritages,person_3039,モニュメント,遺産,Japanese,RN
become,get,person_3039,なる,取得,Japanese,RV
attractions,facilities,person_2968,見どころ,施設,Japanese,RN
tallest,highest,person_2968,高い,最高,Japanese,RJ
go,get,person_2968,行く,取得,Japanese,RV
enjoy,experience,person_2968,お 楽しみ ください,発生,Japanese,RV
can,should,person_3042,できます,べき,Japanese,RV
would,must,person_3042,だろう,ならない,Japanese,RV
can,would,person_3042,できます,だろう,Japanese,RV
foot,walking,person_2985,足,歩いて,Japanese,RN
include,are,person_2985,含める,は,Japanese,RV
meet,see,person_2985,満たす,見る,Japanese,RV
get,gain,person_2985,取得,得る,Japanese,RV
tall,higher,person_2985,背,高い,Japanese,RJ
tallest,highest,person_2985,高い,最高,Japanese,RJ
go,visit,person_2985,行く,訪問,Japanese,RV
view,scene,person_2985,ビュー,シーン,Japanese,RN
go,visit,person_2985,行く,訪問,Japanese,RV
Also,Instead,person_3247,また,代り,Japanese,RY
going,visiting,person_3247,つもり,訪問,Japanese,RV
ways,choices,person_3152,方法,選択肢,Japanese,RN
Don't,Wouldn't,person_3152,,,Japanese,RV
imagine,expect,person_3152,,,Japanese,RV
lonely,alone,person_3152,,,Japanese,RJ
said,announce,person_578,dijo,anunciar,Spanish,RV
come,go,person_506,venir,ir,Spanish,RV
grateful,thankful,person_506,agradecido,agradecido,Spanish,RJ
suit,fit,person_506,adaptarse,caber,Spanish,RV
show,perform,person_514,mostrar,realizar,Spanish,RV
schoolmates,mates,person_514,compañeros,compañeros,Spanish,RN
round,about,person_514,redondo,sobre,Spanish,RY
time,moments,person_266,tiempo,momentos,Spanish,RN
had,passed,person_266,tenía,pasado,Spanish,RV
bought,paid,person_266,compró,pagado,Spanish,RV
booking,make,person_266,reservar,hacer,Spanish,RV
attended,concurred,person_266,asistieron,coincidió,Spanish,RV
am,have,person_266,soy,tener,Spanish,RV
don't,wouldn't,person_266,no,no,Spanish,RV
do,make,person_266,hacer,hacer,Spanish,RV
attend,assist,person_211,asistir,asistir,Spanish,RV
save,win,person_211,salvar,ganar,Spanish,RV
deceive,cheat,person_211,engañar,engañar,Spanish,RV
invite,call,person_211,invitar,llamar,Spanish,RV
Sincerely,Faithfully,person_211,sinceramente,fielmente,Spanish,RY
just,only,person_211,sólo,sólo,Spanish,RY
beforehand,previously,person_211,antemano,previamente,Spanish,RY
showing,presenting,person_397,mostrando,presentando,Spanish,RV
feeling,felling,person_397,sintiendo,tala,Spanish,RV
resolve,solve,person_397,resolver,resolver,Spanish,RV
also,too,person_803,también,demasiado,Spanish,RY
give,do,person_803,dar,hacer,Spanish,RV
continue,increase,person_803,continuar,aumentar,Spanish,RV
appear,play,person_2297,aparecen,jugar,Spanish,RV
allows,permits,person_2297,permite,permite,Spanish,RV
allow,permit,person_2297,permite,permitir,Spanish,RV
creates,gives,person_2297,crea,da,Spanish,RV
serve,sell,person_1952,servir,vender,Spanish,RV
where,when,person_1952,donde,cuando,Spanish,RY
place,pace,person_1238,lugar,ritmo,Spanish,RN
aspect,thing,person_1238,aspecto,cosa,Spanish,RN
consequences,things,person_1238,consecuencias,cosas,Spanish,RN
give,make,person_2731,dar,hacer,Spanish,RV
go,arrived,person_2731,ir,llegó,Spanish,RV
had,spend,person_2731,tenía,pasar,Spanish,RV
understanding,comprehension,person_2731,comprensión,comprensión,Spanish,RN
away,out,person_2731,lejos,hacia fuera,Spanish,RY
returned,arrived,person_2731,devuelto,llegó,Spanish,RV
audience,visitors,person_1628,audiencia,visitantes,Spanish,RN
late,later,person_1628,retraso,más tarde,Spanish,RY
full,plenty,person_1628,completo,abundancia,Spanish,RJ
found,met,person_2321,encontrado,se reunió,Spanish,RV
poor,bad,person_2321,pobre,malo,Spanish,RJ
went,want,person_2321,fue,quiero,Spanish,RV
Waiting,Looking,person_2321,esperando,mirando,Spanish,RV
not,no,person_2321,no,ningún,Spanish,RY
salesmen,sellers,person_2321,vendedores,vendedores,Spanish,RN
have,is,person_433,tener,es,Spanish,RV
above,before,person_433,arriba,antes,Spanish,RY
able,available,person_433,capaz,disponible,Spanish,RJ
sitting,seating,person_433,sentado,asientos,Spanish,RV
had,did,person_433,tenía,hizo,Spanish,RV
had,gave,person_433,tenía,dio,Spanish,RV
PLACE,PART,person_425,lugar,parte,Spanish,RN
MUSICAL,PLAY,person_425,musical,juego,Spanish,RN
HAVE,SPEND,person_425,tener,pasar,Spanish,RV
NOT,NO,person_425,no,ningún,Spanish,RY
ATTACH,GIVE,person_425,adjuntar,dar,Spanish,RV
were,lasted,person_1164,fueron,duró,Spanish,RV
satisfy,supply,person_1164,satisfacer,suministrar,Spanish,RV
colder,cooler,person_1164,frío,fresco,Spanish,RJ
stressful,workable,person_1164,estresante,realizable,Spanish,RJ
fall,get,person_1164,caerse,conseguir,Spanish,RV
becoming,being,person_1164,volviendo,ser,Spanish,RV
chance,possibility,person_1164,oportunidad,posibilidad,Spanish,RN
however,nevertheless,person_155,sin embargo,sin embargo,Spanish,RY
was,has,person_155,fue,ha,Spanish,RV
Also,Besides,person_155,también,además,Spanish,RY
had,spent,person_155,tenía,gastado,Spanish,RV
arranging,preparing,person_155,arreglo,preparando,Spanish,RV
STATES,APPEARS,person_1011,declara,aparece,Spanish,RV
REALLY,HEAVILY,person_1011,realmente,pesadamente,Spanish,RY
HADN'T,DIDN'T,person_1011,hubiera,no,Spanish,RV
HAD,GOT,person_1011,tenía,tiene,Spanish,RV
ADVANCES,MODERNIZES,person_1011,avances,moderniza,Spanish,RV
DOING,MAKING,person_1011,haciendo,hacer,Spanish,RV
playing,listening,person_2295,jugando,escuchar,Spanish,RV
definitely,definitively,person_2295,definitivamente,definitivamente,Spanish,RY
refurbishment,renewal,person_2295,remodelación,renovación,Spanish,RN
advertisement,advertising,person_2295,anuncio,publicidad,Spanish,RN
give,make,person_2295,dar,hacer,Spanish,RV
audience,public,person_2295,audiencia,público,Spanish,RN
type,model,person_2295,tipo,modelo,Spanish,RN
average,common,person_1575,promedio,común,Spanish,RJ
actual,formal,person_1575,real,formal,Spanish,RJ
using,discus,person_1575,usando,disco,Spanish,RV
get,have,person_1429,conseguir,tener,Spanish,RV
supposed,announced,person_1429,supone,anunció,Spanish,RV
have,spend,person_1429,tener,pasar,Spanish,RV
advertised,announce,person_1429,anunciado,anunciar,Spanish,RV
do,make,person_1429,hacer,hacer,Spanish,RV
asked,said,person_140,preguntó,dijo,Spanish,RV
irritable,nervous,person_140,irritable,nervioso,Spanish,RJ
doing,making,person_140,haciendo,hacer,Spanish,RV
aspect,point,person_140,aspecto,punto,Spanish,RN
had,reaching,person_140,tenía,alcanzar,Spanish,RV
losing,loosing,person_140,perder,perder,Spanish,RV
said,read,person_424,dijo,leer,Spanish,RV
performed,participated,person_424,realizado,participado,Spanish,RV
received,became,person_424,recibido,se convirtió,Spanish,RV
time,hour,person_424,tiempo,hora,Spanish,RN
alarm,timer,person_424,alarma,temporizador,Spanish,RN
get,stand,person_424,conseguir,pararse,Spanish,RV
arrive,reach,person_424,llegar,alcanzar,Spanish,RV
lose,loose,person_424,perder,suelto,Spanish,RV
had,found,person_2252,tenía,encontrado,Spanish,RV
full-price,full,person_2252,,completo,Spanish,RJ
go,get,person_2252,ir,conseguir,Spanish,RV
intention,purpose,person_2252,intención,propósito,Spanish,RN
have,take,person_2252,tener,tomar,Spanish,RV
on,in,person_2252,en,en,Spanish,RY
large,big,person_2252,grande,gran,Spanish,RJ
invention,advance,person_2252,invención,avanzan,Spanish,RN
producer,exhibitor,person_2723,productor,expositor,Spanish,RN
came,went,person_2723,vino,fue,Spanish,RV
published,announced,person_1809,publicado,anunció,Spanish,RV
main,strongest,person_1809,principal,fuerte,Spanish,RJ
only,just,person_1809,sólo,sólo,Spanish,RY
advance,improvement,person_1809,avanzan,mejora,Spanish,RN
give,made,person_2669,dar,hecho,Spanish,RV
get,have,person_2669,conseguir,tener,Spanish,RV
problem,question,person_2669,problema,pregunta,Spanish,RN
said,advised,person_2669,dijo,aconsejado,Spanish,RV
had,found,person_2669,tenía,encontrado,Spanish,RV
problems,faults,person_2669,problemas,fallas,Spanish,RN
cafe,coffee,person_2669,cafe,café,Spanish,RN
WENT,WERE,person_2720,fue,fueron,Spanish,RV
WRONG,FALSE,person_2720,equivocado,falso,Spanish,RJ
CLOSED,CLOSE,person_2720,cerrado,cerca,Spanish,RJ
RESULTS,QUALIFICATIONS,person_2720,resultados,calificaciones,Spanish,RN
didn't,couldn't,person_1448,no,podía,Spanish,RV
mess,troubles,person_1448,lío,apuros,Spanish,RN
made,did,person_1448,hecho,hizo,Spanish,RV
would,could,person_1448,haría,podría,Spanish,RV
had,should,person_1448,tenía,debería,Spanish,RV
event,fact,person_2223,evento,hecho,Spanish,RN
valid,available,person_2223,válido,disponible,Spanish,RJ
take,invite,person_2223,tomar,invitar,Spanish,RV
published,gave,person_2424,publicado,dio,Spanish,RV
done,made,person_2424,hecho,hecho,Spanish,RV
instance,case,person_2424,instancia,caso,Spanish,RN
minute,moment,person_2424,minuto,momento,Spanish,RN
projects,works,person_2424,proyectos,obras,Spanish,RN
access,facility,person_2424,acceso,instalación,Spanish,RN
stated,noticed,person_1933,declaró,notado,Spanish,RV
posthaste,rapidly,person_1933,,rápidamente,Spanish,RY
Now,Nowadays,person_1933,ahora,actualmente,Spanish,RY
extras,facilities,person_719,extras,instalaciones,Spanish,RN
offering,giving,person_719,ofreciendo,dando,Spanish,RV
type,category,person_719,tipo,categoría,Spanish,RN
complain,comply,person_719,quejarse,cumplir,Spanish,RV
do,make,person_719,hacer,hacer,Spanish,RV
up,at,person_719,arriba,en,Spanish,RY
meant,made,person_719,significaba,hecho,Spanish,RV
creates,brings,person_2143,crea,trae,Spanish,RV
getting,going,person_2143,recibiendo,va,Spanish,RV
just,only,person_2143,sólo,sólo,Spanish,RY
be,have,person_65,ser,tener,Spanish,RV
publish,present,person_65,publicar,presentar,Spanish,RV
do,make,person_65,hacer,hacer,Spanish,RV
ways,aspects,person_65,maneras,aspectos,Spanish,RN
do,make,person_65,hacer,hacer,Spanish,RV
to,around,person_127,a,alrededor,Spanish,RY
irritable,nervous,person_2609,irritable,nervioso,Spanish,RJ
find,fine,person_2609,encontrar,fina,Spanish,RV
characteristics,features,person_2609,características,características,Spanish,RN
supposed,said,person_2609,supone,dijo,Spanish,RV
accept,approve,person_2609,aceptar,aprobar,Spanish,RV
angry,hungry,person_2609,enojado,hambre,Spanish,RJ
harshly,hard,person_2609,duramente,mucho,Spanish,RY
harshly,hardly,person_2609,duramente,apenas,Spanish,RY
appliances,machines,person_1472,electrodomésticos,máquinas,Spanish,RN
created,done,person_1472,creado,hecho,Spanish,RV
you're,you've,person_2755,eres,,Spanish,RV
going,getting,person_2755,va,recibiendo,Spanish,RV
scheduled,planned,person_2755,programado,planeado,Spanish,RV
let,make,person_2580,dejar,hacer,Spanish,RV
give,make,person_2580,dar,hacer,Spanish,RV
would,could,person_2580,haría,podría,Spanish,RV
call,make,person_2580,llamar,hacer,Spanish,RV
ruined,ended,person_2580,arruinado,terminó,Spanish,RV
made,put,person_8,hecho,poner,Spanish,RV
annoyed,nervous,person_8,molesto,nervioso,Spanish,RJ
hadn't,wasn't,person_8,hubiera,no,Spanish,RV
said,told,person_8,dijo,dije,Spanish,RV
purpose,point,person_2032,propósito,punto,Spanish,RN
fail,miss,person_2032,fallar,perder,Spanish,RV
giving,saying,person_2032,dando,diciendo,Spanish,RV
realised,noticed,person_2032,di cuenta,notado,Spanish,RV
relationship,relation,person_2032,relación,relación,Spanish,RN
do,be,person_2032,hacer,ser,Spanish,RV
audience,spectators,person_2391,audiencia,espectadores,Spanish,RN
wish,think,person_1459,gustaría,pensar,Spanish,RV
get,have,person_1459,conseguir,tener,Spanish,RV
kiosk,cabin,person_1459,quiosco,cabina,Spanish,RN
talk,tell,person_1459,hablar,dile,Spanish,RV
visit,arrangement,person_1707,visita,arreglo,Spanish,RN
stage,scene,person_1707,etapa,escena,Spanish,RN
ever,never,person_1707,alguna vez,nunca,Spanish,RY
cure,face,person_1707,curarlo,enfrentar,Spanish,RV
tears,teas,person_1707,lágrimas,tés,Spanish,RN
became,got,person_1707,se convirtió,tiene,Spanish,RV
see,appreciate,person_1707,ver,apreciar,Spanish,RV
refused,denied,person_1707,negado,negó,Spanish,RV
gave,made,person_1048,dio,hecho,Spanish,RV
seat,place,person_1048,asiento,lugar,Spanish,RN
taken,used,person_1048,tomado,utilizado,Spanish,RV
seat,place,person_1048,asiento,lugar,Spanish,RN
discovered,find,person_1048,descubierto,encontrar,Spanish,RV
climbed,went,person_1048,subió,fue,Spanish,RV
describe,explain,person_1841,describir,explicar,Spanish,RV
didn't,hadn't,person_1841,no,hubiera,Spanish,RV
modern-day,actually,person_1841,,realmente,Spanish,RJ
bad,wrong,person_1841,malo,equivocado,Spanish,RJ
supposed,expected,person_1699,supone,espera,Spanish,RV
somewhere,anywhere,person_1699,algo,dondequiera,Spanish,RY
wouldn't,didn't,person_56,no,no,Spanish,RV
throw,give,person_56,tirar,dar,Spanish,RV
delicious,delightful,person_56,delicioso,encantador,Spanish,RJ
entitled,titled,person_869,titulado,titulado,Spanish,RJ
cooking,cook,person_2203,cocina,cocinero,Spanish,RN
nearly,hardly,person_2203,casi,apenas,Spanish,RY
Nearly,Mostly,person_2203,casi,mayormente,Spanish,RY
height,top,person_2203,altura,parte superior,Spanish,RN
see,watch,person_2203,ver,ver,Spanish,RV
took,was,person_2773,tomó,fue,Spanish,RV
yesterday,last,person_2773,ayer,última,Spanish,RJ
price,prize,person_2773,precio,premio,Spanish,RN
affordable,available,person_2773,asequible,disponible,Spanish,RJ
compensation,reward,person_1091,compensación,recompensa,Spanish,RN
likely,lively,person_1091,probable,animado,Spanish,RJ
was,got,person_2200,fue,tiene,Spanish,RV
Later,Lately,person_2200,más tarde,últimamente,Spanish,RY
closed,close,person_2200,cerrado,cerca,Spanish,RJ
eventually,finally,person_2200,eventualmente,finalmente,Spanish,RY
advertised,announced,person_880,anunciado,anunció,Spanish,RV
refund,return,person_880,reembolso,retorno,Spanish,RN
put,take,person_880,poner,tomar,Spanish,RV
when,while,person_1899,cuando,mientras,Spanish,RY
understanding,comprehensive,person_1899,comprensiva,comprensivo,Spanish,RJ
come,go,person_1899,venir,ir,Spanish,RV
surprising,rare,person_1899,sorprendente,raro,Spanish,RJ
bad,wrong,person_1899,malo,equivocado,Spanish,RJ
immediately,rapidly,person_1899,inmediatamente,rápidamente,Spanish,RY
ending,final,person_1899,final,definitiva,Spanish,RN
imagination,fantasy,person_1899,imaginación,fantasía,Spanish,RN
FULL,COMPLETE,person_2402,completo,completa,Spanish,RJ
occurred,had,person_2600,ocurrió,tenía,Spanish,RV
advertised,published,person_2600,anunciado,publicado,Spanish,RV
get,gave,person_2600,conseguir,dio,Spanish,RV
account,description,person_2600,cuenta,descripción,Spanish,RN
resolved,solved,person_2600,resuelto,solucionado,Spanish,RV
problem,trouble,person_2600,problema,problemas,Spanish,RN
STAR,PROTAGONIST,person_2748,estrella,protagonista,Spanish,RN
RACE,BEING,person_2748,raza,ser,Spanish,RN
ENGINE,MACHINE,person_2748,motor,máquina,Spanish,RN
DO,TAKE,person_2748,hacer,tomar,Spanish,RV
was,came,person_1081,fue,vino,Spanish,RV
meant,involved,person_1081,significaba,involucrado,Spanish,RV
However,Nevertheless,person_1081,sin embargo,sin embargo,Spanish,RY
thing,point,person_1081,cosa,punto,Spanish,RN
decided,determined,person_1081,decidido,determinado,Spanish,RV
tell,say,person_86,dile,decir,Spanish,RV
replaced,changed,person_86,substituido,cambiado,Spanish,RV
repairs,reparations,person_86,reparaciones,reparaciones,Spanish,RN
told,answered,person_86,dije,respondió,Spanish,RV
get,have,person_1134,conseguir,tener,Spanish,RV
states,puts,person_1134,declara,pone,Spanish,RV
was,got,person_1134,fue,tiene,Spanish,RV
asked,told,person_1134,preguntó,dije,Spanish,RV
had,did,person_1134,tenía,hizo,Spanish,RV
again,more,person_1134,otra vez,más,Spanish,RY
performed,presented,person_878,realizado,presentó,Spanish,RV
described,mentioned,person_878,descrito,mencionado,Spanish,RV
keeps,makes,person_878,mantiene,hace,Spanish,RV
liked,appreciated,person_688,gustó,apreciado,Spanish,RV
replaced,changed,person_688,substituido,cambiado,Spanish,RV
replacement,change,person_688,recambio,cambio,Spanish,RN
get,have,person_688,conseguir,tener,Spanish,RV
explanation,answer,person_688,explicación,respuesta,Spanish,RN
not,no,person_688,no,ningún,Spanish,RY
far,long,person_688,lejos,tiempo,Spanish,RY
spend,stay,person_688,pasar,quedarse,Spanish,RV
various,different,person_2763,varios,diferentes,Spanish,RJ
things,points,person_2763,cosas,puntos,Spanish,RN
disappointed,disappointing,person_2763,decepcionado,decepcionante,Spanish,RJ
went,was,person_2763,fue,fue,Spanish,RV
met,was,person_2763,se reunió,fue,Spanish,RV
really,absolutely,person_2763,realmente,absolutamente,Spanish,RY
tell,say,person_2763,dile,decir,Spanish,RV
written,made,person_2763,escrito,hecho,Spanish,RV
amusing,amused,person_2763,divertido,divertida,Spanish,RJ
see,check,person_2763,ver,comprobar,Spanish,RV
subject,point,person_2763,sujeto,punto,Spanish,RN
embarrassing,embarrassed,person_2671,embarazoso,avergonzado,Spanish,RJ
met,known,person_2671,se reunió,conocido,Spanish,RV
invited,offered,person_2671,invitado,ofrecido,Spanish,RV
had,could,person_2671,tenía,podría,Spanish,RV
was,had,person_2671,fue,tenía,Spanish,RV
get,make,person_2671,conseguir,hacer,Spanish,RV
fell,felt,person_2671,cayó,sentía,Spanish,RV
had,did,person_2671,tenía,hizo,Spanish,RV
time,moment,person_1224,tiempo,momento,Spanish,RN
replace,change,person_1224,reemplazar,cambiar,Spanish,RV
position,case,person_1224,posición,caso,Spanish,RN
audience,people,person_1224,audiencia,gente,Spanish,RN
lawyer,layer,person_1224,abogado,capa,Spanish,RN
lover,love,person_1224,amante,amor,Spanish,RN
spent,passed,person_1224,gastado,pasado,Spanish,RV
told,said,person_1224,dije,dijo,Spanish,RV
denied,refused,person_1224,negó,negado,Spanish,RV
open,available,person_2261,abierto,disponible,Spanish,RJ
interest,attention,person_2261,interés,atención,Spanish,RN
untrue,wrong,person_758,falso,equivocado,Spanish,RJ
imprison,close,person_758,encarcelar,cerrar,Spanish,RV
away,far,person_758,lejos,lejos,Spanish,RY
mind,opinion,person_758,mente,opinión,Spanish,RN
consciousness,conscience,person_758,conciencia,conciencia,Spanish,RN
let,left,person_758,dejar,dejó,Spanish,RV
do,make,person_1386,hacer,hacer,Spanish,RV
price,prize,person_160,precio,premio,Spanish,RN
disappointed,disappointing,person_2075,decepcionado,decepcionante,Spanish,RJ
were,do,person_2075,fueron,hacer,Spanish,RV
unpleasant,uncomfortable,person_2075,desagradable,incómodo,Spanish,RJ
Computers,Technology,person_2075,ordenadores,tecnología,Spanish,RN
help,lead,person_2075,ayudar,llevar,Spanish,RV
interested,interesting,person_2075,interesado,interesante,Spanish,RJ
time,hour,person_824,tiempo,hora,Spanish,RN
shows,is,person_824,muestra,es,Spanish,RV
does,was,person_824,hace,fue,Spanish,RV
Completely,Absolutely,person_824,completamente,absolutamente,Spanish,RY
told,said,person_1544,dije,dijo,Spanish,RV
fake,false,person_1544,falso,falso,Spanish,RJ
shows,is,person_1544,muestra,es,Spanish,RV
actor,act,person_1544,actor,acto,Spanish,RN
have,make,person_1544,tener,hacer,Spanish,RV
get,have,person_2299,conseguir,tener,Spanish,RV
had,was,person_2299,tenía,fue,Spanish,RV
open,do,person_2299,abrirse,hacer,Spanish,RV
refund,refuse,person_2299,reembolsar,niego,Spanish,RV
came,started,person_2299,vino,iniciado,Spanish,RV
had,spent,person_2299,tenía,gastado,Spanish,RV
go,come,person_2299,ir,venir,Spanish,RV
angry,nervous,person_2299,enojado,nervioso,Spanish,RJ
explain,show,person_762,explicar,mostrar,Spanish,RV
mistakes,faults,person_762,errores,fallas,Spanish,RN
walked,stepped,person_762,caminó,caminó,Spanish,RV
normal,common,person_762,normal,común,Spanish,RJ
was,took,person_762,fue,tomó,Spanish,RV
first,before,person_762,primer lugar,antes,Spanish,RY
waste,lose,person_1627,desperdiciar,perder,Spanish,RV
tell,explain,person_1627,dile,explicar,Spanish,RV
fell,felt,person_1627,cayó,sentía,Spanish,RV
biting,eating,person_1627,morder,comer,Spanish,RV
won't,don't,person_1627,no,no,Spanish,RV
disappointing,disappointed,person_1194,decepcionante,decepcionado,Spanish,RJ
experienced,seen,person_1194,experimentado,visto,Spanish,RV
part,side,person_1194,parte,lado,Spanish,RN
yet,already,person_1194,todavía,ya,Spanish,RY
Considering,Seen,person_1194,considerando,visto,Spanish,RV
thing,way,person_1194,cosa,manera,Spanish,RN
thing,way,person_1194,cosa,manera,Spanish,RN
thing,way,person_1194,cosa,manera,Spanish,RN
maintain,have,person_1194,mantener,tener,Spanish,RV
dependence,independence,person_1194,dependencia,independencia,Spanish,RN
was,got,person_2674,fue,tiene,Spanish,RV
full-price,full,person_2674,,completo,Spanish,RJ
ago,before,person_2674,hace,antes,Spanish,RY
leave,get,person_2674,dejar,conseguir,Spanish,RV
Sir,Mr,person_2648,señor,sr.,Spanish,RN
showing,performing,person_2648,mostrando,escénicas,Spanish,RV
later,after,person_2648,más tarde,después,Spanish,RY
express,show,person_2264,expresar,mostrar,Spanish,RV
game,match,person_2264,juego,partido,Spanish,RN
tell,say,person_2264,dile,decir,Spanish,RV
hygiene,cleaning,person_1744,higiene,limpieza,Spanish,RN
recognise,realize,person_1744,reconocer,das cuenta,Spanish,RV
need,used,person_1744,necesita,utilizado,Spanish,RV
do,find,person_1744,hacer,encontrar,Spanish,RV
talk,speak,person_2107,hablar,hablar,Spanish,RV
off,out,person_2107,apagado,hacia fuera,Spanish,RY
grateful,thankful,person_426,agradecido,agradecido,Spanish,RJ
lit,lightened,person_426,encendió,aligerado,Spanish,RV
notifying,noticing,person_1167,notificación,notar,Spanish,RV
camp,camping,person_1167,campamento,camping,Spanish,RN
buy,afford,person_1167,comprar,permitirse,Spanish,RV
go,move,person_1167,ir,mover,Spanish,RV
extremely,too,person_1167,extremadamente,demasiado,Spanish,RY
pressure,stress,person_2446,presión,estrés,Spanish,RN
have,be,person_2693,tener,ser,Spanish,RV
clothing,cloth,person_2693,ropa,paño,Spanish,RN
stars,starts,person_2693,estrellas,arranques,Spanish,RN
give,tell,person_2693,dar,dile,Spanish,RV
intense,good,person_1364,intenso,buena,Spanish,RJ
get,have,person_1364,conseguir,tener,Spanish,RV
ago,before,person_1364,hace,antes,Spanish,RY
might,would,person_1364,podría,haría,Spanish,RV
making,wining,person_974,hacer,vinificación,Spanish,RV
First,Firstly,person_1548,primer lugar,primero,Spanish,RY
get,have,person_1548,conseguir,tener,Spanish,RV
wanted,wished,person_551,quería,deseaba,Spanish,RV
concerns,doubts,person_551,preocupaciones,dudas,Spanish,RN
trip,travel,person_551,viaje,viaje,Spanish,RN
good,complete,person_551,buena,completa,Spanish,RJ
choice,selection,person_551,elección,selección,Spanish,RN
made,done,person_551,hecho,hecho,Spanish,RV
answer,clear,person_1944,contestar,despejar,Spanish,RV
questions,doubts,person_1944,preguntas,dudas,Spanish,RN
used,use,person_1944,utilizado,utilizar,Spanish,RV
new,original,person_1944,nuevo,original,Spanish,RJ
surfing,surf,person_1944,surf,surf,Spanish,RN
make,do,person_1944,hacer,hacer,Spanish,RV
sale,discount,person_1944,venta,descuento,Spanish,RN
time,date,person_395,tiempo,fecha,Spanish,RN
tell,ask,person_395,dile,preguntar,Spanish,RV
tell,said,person_395,dile,dijo,Spanish,RV
go,practice,person_395,ir,practicar,Spanish,RV
would,am,person_395,haría,soy,Spanish,RV
questions,doubt,person_395,preguntas,duda,Spanish,RN
jewellery,jewels,person_395,joyería,joyas,Spanish,RN
last,past,person_381,última,últimos,Spanish,RJ
do,make,person_381,hacer,hacer,Spanish,RV
clothing,clothes,person_381,ropa,ropa,Spanish,RN
shape,form,person_381,forma,forma,Spanish,RN
asked,told,person_381,preguntó,dije,Spanish,RV
only,just,person_1175,sólo,sólo,Spanish,RY
do,train,person_1175,hacer,entrenarse,Spanish,RV
clothing,cloth,person_1175,ropa,paño,Spanish,RN
take,carry,person_1175,tomar,llevar,Spanish,RV
annoying,annoyed,person_1175,molesto,molesto,Spanish,RJ
SAY,EXPRESS,person_2642,decir,expresar,Spanish,RV
TAKE,PASS,person_2642,tomar,pasar,Spanish,RV
BACK,COLUMN,person_2642,espalda,columna,Spanish,RN
WON'T,DON'T,person_2642,no,no,Spanish,RV
BACK,COLUMN,person_2642,espalda,columna,Spanish,RN
FOLLOW,DO,person_2642,seguir,hacer,Spanish,RV
CONTINUING,COVER,person_2642,continuar,cubrir,Spanish,RV
BRING,CARRY,person_2642,traer,llevar,Spanish,RV
BRINGING,PUTTING,person_2642,traer,poner,Spanish,RV
STORIES,HISTORIES,person_2642,historias,historias,Spanish,RN
DO,ARE,person_2642,hacer,son,Spanish,RV
SHOULDN'T,WON'T,person_2642,debería,no,Spanish,RV
GLIMPSE,LOOKING,person_2642,vistazo,mirando,Spanish,RN
RULED,COMMANDED,person_2642,gobernado,comandada,Spanish,RV
competition,competence,person_1363,competencia,competencia,Spanish,RN
go,do,person_1363,ir,hacer,Spanish,RV
think,find,person_2050,pensar,encontrar,Spanish,RV
row,position,person_2050,fila,posición,Spanish,RN
clothing,clothes,person_1565,ropa,ropa,Spanish,RN
breaks,brakes,person_1565,roturas,frenos,Spanish,RN
learn,know,person_2535,aprender,sabe,Spanish,RV
choir,chorus,person_2535,coro,coro,Spanish,RN
very,too,person_2535,muy,demasiado,Spanish,RY
month,days,person_1996,mes,días,Spanish,RN
well,fine,person_1996,bien,fina,Spanish,RJ
choose,try,person_804,elegir,intentar,Spanish,RV
do,practice,person_804,hacer,practicar,Spanish,RV
tried,done,person_804,intentado,hecho,Spanish,RV
will,may,person_804,voluntad,puede,Spanish,RV
expenses,costs,person_804,gastos,costos,Spanish,RN
great,very,person_804,gran,muy,Spanish,RY
think,thank,person_804,pensar,agradecer,Spanish,RV
large,big,person_804,grande,gran,Spanish,RJ
