c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,case_id
then,when,person_2222,puis,quand,French,RY,fr,0.5349346995353699,0.558293342590332,0.5163335800170898,0.4842154383659363,0.4639359712600708,0.4525446593761444,0.5434576272964478,0.5425511598587036,0.5109500288963318,0.48269128799438477,0.473713755607605,0.45985907316207886,case_0861
assistants,sellers,person_2222,assistants,vendeurs,French,RN,fr,0.1235598474740982,0.128790020942688,0.14527347683906555,0.151752769947052,0.1530666947364807,0.15634381771087646,0.3266434073448181,0.32010212540626526,0.3236221969127655,0.32688724994659424,0.3273239731788635,0.32576310634613037,case_0862
assistant,seller,person_2222,assistant,vendeur,French,RN,fr,0.09197678416967392,0.09814243018627167,0.10361278057098389,0.10813650488853455,0.10695807635784149,0.1117614135146141,0.22705280780792236,0.2500426769256592,0.25776445865631104,0.2531664967536926,0.24381357431411743,0.2423197329044342,case_0863
correct,good,person_900,correcte,bon,French,RJ,fr,0.2220894694328308,0.2100495994091034,0.2003529667854309,0.19304533302783966,0.1871815174818039,0.1893579065799713,0.3558502793312073,0.35003504157066345,0.34263595938682556,0.32635921239852905,0.316539466381073,0.31771495938301086,case_0864
stage,scene,person_900,stade,scène,French,RN,fr,0.3020366132259369,0.2902931869029999,0.26792705059051514,0.25071054697036743,0.23896868526935577,0.2279070019721985,0.18827524781227112,0.18066221475601196,0.17141488194465637,0.16739612817764282,0.16679054498672485,0.1673121154308319,case_0865
became,got,person_900,devint,obtenu,French,RV,fr,0.29302406311035156,0.2880617082118988,0.2895583510398865,0.2890276610851288,0.2882434129714966,0.2822135388851166,0.28351789712905884,0.3022029399871826,0.2706536054611206,0.27083438634872437,0.2715773284435272,0.26699918508529663,case_0866
think,realize,person_900,pense,réaliser,French,RV,fr,0.5981960296630859,0.5842564105987549,0.5437169075012207,0.5256969928741455,0.5101151466369629,0.4971139430999756,0.28031742572784424,0.28260743618011475,0.2780415415763855,0.2807089686393738,0.27836596965789795,0.27834272384643555,case_0867
excited,exciting,person_280,excité,excitant,French,RJ,fr,0.46803736686706543,0.45588359236717224,0.43774574995040894,0.39751800894737244,0.374910831451416,0.366477370262146,0.5031052827835083,0.4996115267276764,0.4607778787612915,0.42517805099487305,0.4075186252593994,0.39458316564559937,case_0868
visit,travel,person_280,visiter,voyager,French,RV,fr,0.2603934407234192,0.25888365507125854,0.23081108927726746,0.2203390896320343,0.22115746140480042,0.2207615077495575,0.43629875779151917,0.42248889803886414,0.4200126528739929,0.4445881247520447,0.4348554015159607,0.4210550785064697,case_0869
expensive,expansive,person_2181,cher,expansive,French,RJ,fr,0.15741902589797974,0.1531795710325241,0.1534649133682251,0.1474325954914093,0.1536407470703125,0.1521095484495163,0.1313268095254898,0.11656678467988968,0.11966575682163239,0.11315900087356567,0.11937682330608368,0.12233731150627136,case_0870
again,still,person_280,nouveau,encore,French,RY,fr,0.29381102323532104,0.32051801681518555,0.28151196241378784,0.2612132430076599,0.25576597452163696,0.2575978636741638,0.39722752571105957,0.36404645442962646,0.3692811131477356,0.3650086522102356,0.37453025579452515,0.37071681022644043,case_0871
teaches,learn,person_280,enseigne,apprendre,French,RV,fr,0.47788047790527344,0.4080984592437744,0.36312705278396606,0.3440895080566406,0.3282428979873657,0.3126099407672882,0.28913795948028564,0.309646338224411,0.32099276781082153,0.2805930972099304,0.26926189661026,0.2579590678215027,case_0872
enters,make,person_280,pénètre,faire,French,RV,fr,0.1785549372434616,0.15505869686603546,0.1339006870985031,0.12712794542312622,0.1293543130159378,0.13052557408809662,0.23914042115211487,0.21002981066703796,0.19475123286247253,0.2043795883655548,0.20064866542816162,0.1966061294078827,case_0873
have,show,person_280,ont,montrer,French,RV,fr,0.21858561038970947,0.21394890546798706,0.20353391766548157,0.1949373483657837,0.19375361502170563,0.19049043953418732,0.28866618871688843,0.27839329838752747,0.28109925985336304,0.2755568027496338,0.2727629840373993,0.27281123399734497,case_0874
spend,travel,person_2222,passer,voyager,French,RV,fr,0.23807090520858765,0.22733040153980255,0.20821091532707214,0.18999385833740234,0.18722224235534668,0.18359267711639404,0.4198400378227234,0.4090394973754883,0.4002440571784973,0.4192444086074829,0.4142525792121887,0.4140150547027588,case_0875
equipment,material,person_2222,équipement,matériel,French,RN,fr,0.2793424129486084,0.2514062821865082,0.22941803932189941,0.22506223618984222,0.2238284945487976,0.21988852322101593,0.6337577700614929,0.5579665899276733,0.48637428879737854,0.45828205347061157,0.4530923366546631,0.43844181299209595,case_0876
provide,give,person_2222,fournir,donner,French,RV,fr,0.4674762189388275,0.4954339861869812,0.4513135552406311,0.3961678743362427,0.3883705139160156,0.3781467080116272,0.629900336265564,0.6090402603149414,0.5653705596923828,0.538650631904602,0.5299097299575806,0.5215712785720825,case_0877
subjects,topics,person_280,sujets,sujets,French,RN,fr,0.4197538495063782,0.42622804641723633,0.36800605058670044,0.34522831439971924,0.3384608030319214,0.3279488682746887,0.685279130935669,0.6293424963951111,0.5723748207092285,0.5371580123901367,0.520406186580658,0.5100396275520325,case_0878
equipment,material,person_2151,équipement,matériel,French,RN,fr,0.2793424129486084,0.2514062821865082,0.22941803932189941,0.22506223618984222,0.2238284945487976,0.21988852322101593,0.6337577700614929,0.5579665899276733,0.48637428879737854,0.45828205347061157,0.4530923366546631,0.43844181299209595,case_0879
miss,fail,person_2181,manquer,échouer,French,RV,fr,0.29309797286987305,0.2665550708770752,0.24642576277256012,0.23839625716209412,0.2364032119512558,0.23501190543174744,0.32109975814819336,0.3018229603767395,0.31863534450531006,0.32839709520339966,0.33126240968704224,0.3350347578525543,case_0880
tell,say,person_2181,dire,dire,French,RV,fr,0.6465024948120117,0.5864979028701782,0.5321345329284668,0.49925416707992554,0.48385900259017944,0.47163161635398865,0.781999409198761,0.7390477657318115,0.6984325647354126,0.6744518876075745,0.6586687564849854,0.6468532681465149,case_0881
found,met,person_2151,trouvé,rencontré,French,RV,fr,0.27022504806518555,0.24576342105865479,0.2419232577085495,0.26001495122909546,0.26198357343673706,0.2703778147697449,0.4751668870449066,0.44198018312454224,0.4236834943294525,0.4337198734283447,0.43448638916015625,0.4307173490524292,case_0882
opportunity,occasion,person_2151,occasion,circonstance,French,RN,fr,0.27231013774871826,0.24331159889698029,0.22560721635818481,0.20356601476669312,0.19994492828845978,0.1921396404504776,0.3405247926712036,0.3330971598625183,0.31976258754730225,0.31734567880630493,0.32480764389038086,0.318442702293396,case_0883
come,become,person_2151,venir,devenir,French,RV,fr,0.2748425006866455,0.2620731294155121,0.26134949922561646,0.25054797530174255,0.24537557363510132,0.24847319722175598,0.35049930214881897,0.3487703800201416,0.32329076528549194,0.32659411430358887,0.3188995122909546,0.329172819852829,case_0884
want,wish,person_2151,veux,souhaite,French,RV,fr,0.5398236513137817,0.5120711922645569,0.5009873509407043,0.4750678539276123,0.4518015384674072,0.43891558051109314,0.5191377401351929,0.5134472846984863,0.49690765142440796,0.4800589680671692,0.4701994061470032,0.4587501585483551,case_0885
time,period,person_2031,temps,période,French,RN,fr,0.5168081521987915,0.4491288661956787,0.40779224038124084,0.39434880018234253,0.3792393207550049,0.37042924761772156,0.3341314494609833,0.33141666650772095,0.3081073760986328,0.29165589809417725,0.2889649271965027,0.28558915853500366,case_0886
subjects,details,person_2031,sujets,détails,French,RN,fr,0.13710550963878632,0.13864974677562714,0.11420482397079468,0.10981891304254532,0.11534201353788376,0.11558926105499268,0.3150978088378906,0.30173173546791077,0.289897084236145,0.289554625749588,0.292285680770874,0.27959999442100525,case_0887
option,solution,person_2031,option,solution,French,RN,fr,0.33406901359558105,0.32364580035209656,0.2972375452518463,0.2808252274990082,0.26118093729019165,0.24883699417114258,0.3871844410896301,0.3846251368522644,0.35259872674942017,0.3332252502441406,0.3452746868133545,0.3465459942817688,case_0888
requested,wanted,person_2031,demandé,voulais,French,RV,fr,0.34551674127578735,0.3256149888038635,0.33324098587036133,0.3146952986717224,0.3095235824584961,0.2958441972732544,0.48645567893981934,0.4578368067741394,0.4435478150844574,0.4298245310783386,0.4197072386741638,0.4158560037612915,case_0889
is,allows,person_247,est,permet,French,RV,fr,0.24540968239307404,0.22775371372699738,0.23323765397071838,0.22815510630607605,0.2201153039932251,0.2158934473991394,0.4158112108707428,0.4189063608646393,0.3980647325515747,0.3921450078487396,0.38117334246635437,0.3710060119628906,case_0890
be,figure,person_247,être,comprendre,French,RV,fr,0.20111815631389618,0.18041543662548065,0.18136736750602722,0.1654517948627472,0.16484816372394562,0.16452552378177643,0.3814373016357422,0.36053717136383057,0.36880144476890564,0.35121840238571167,0.3475222885608673,0.3445325493812561,case_0891
classed,classified,person_247,classé,classés,French,RV,fr,0.5378231406211853,0.521407425403595,0.45778995752334595,0.42194032669067383,0.39596664905548096,0.36734092235565186,0.6602417230606079,0.5691639184951782,0.45436128973960876,0.40595757961273193,0.37959158420562744,0.36733025312423706,case_0892
remains,stays,person_247,reste,reste,French,RV,fr,0.34513407945632935,0.2948482036590576,0.2967001795768738,0.29042553901672363,0.26477372646331787,0.25441187620162964,0.78462153673172,0.7308374643325806,0.6691567301750183,0.6286336779594421,0.6065300703048706,0.5914815068244934,case_0893
play,practice,person_247,jouer,pratiquer,French,RV,fr,0.2602050304412842,0.24054886400699615,0.21480496227741241,0.19796793162822723,0.19177551567554474,0.18492473661899567,0.3303549289703369,0.3350803852081299,0.3330433964729309,0.3407980799674988,0.3614790439605713,0.37581342458724976,case_0894
store,let,person_247,entreposer,laisser,French,RV,fr,0.13439077138900757,0.1439819633960724,0.11490263044834137,0.10032464563846588,0.09168238937854767,0.08629053086042404,0.3024233877658844,0.3171919584274292,0.29479992389678955,0.3184744119644165,0.32860952615737915,0.3301844298839569,case_0895
there,here,person_2227,là,ici,French,RY,fr,0.4126480221748352,0.38014891743659973,0.35716161131858826,0.3386729955673218,0.33560168743133545,0.3267894685268402,0.3543456792831421,0.3289862275123596,0.3177332580089569,0.2940405011177063,0.28373250365257263,0.2726309895515442,case_0896
listening,hearing,person_2227,écoute,entendre,French,RV,fr,0.4329238533973694,0.3939359784126282,0.36956194043159485,0.336991548538208,0.3226223587989807,0.3140966296195984,0.4607270658016205,0.4234634041786194,0.3746413290500641,0.34967559576034546,0.3426034450531006,0.33899614214897156,case_0897
equipment,material,person_2227,équipement,matériel,French,RN,fr,0.2793424129486084,0.2514062821865082,0.22941803932189941,0.22506223618984222,0.2238284945487976,0.21988852322101593,0.6337577700614929,0.5579665899276733,0.48637428879737854,0.45828205347061157,0.4530923366546631,0.43844181299209595,case_0898
interested,interesting,person_2181,intéressé,intéressant,French,RJ,fr,0.359252005815506,0.32605600357055664,0.3245919942855835,0.31874293088912964,0.3069360852241516,0.3035929799079895,0.44563543796539307,0.4344521164894104,0.41961580514907837,0.3989388942718506,0.39600032567977905,0.3908661901950836,case_0899
get,have,person_1926,obtenir,ont,French,RV,fr,0.45191502571105957,0.47765597701072693,0.43210193514823914,0.4111254811286926,0.4047117829322815,0.39162564277648926,0.32797402143478394,0.3265656530857086,0.30998945236206055,0.2984730005264282,0.29477784037590027,0.2908606231212616,case_0900
forward,forwards,person_1926,avant,expédie,French,RY,fr,0.5924016237258911,0.5815058350563049,0.4928162097930908,0.4503120183944702,0.4286789894104004,0.40305715799331665,0.2538462281227112,0.22820529341697693,0.226633220911026,0.21817484498023987,0.21759268641471863,0.2206026017665863,case_0901
deteriorated,decrease,person_1926,détériorée,diminuer,French,RV,fr,0.314914345741272,0.2947571277618408,0.2505410611629486,0.23828017711639404,0.23110651969909668,0.225072979927063,0.2835923433303833,0.2735690176486969,0.275041401386261,0.26651209592819214,0.25698894262313843,0.2520194947719574,case_0902
do,play,person_2230,faire,jouer,French,RV,fr,0.2136145532131195,0.20629507303237915,0.2001107633113861,0.19204223155975342,0.18653535842895508,0.17925682663917542,0.4290808439254761,0.4234693646430969,0.4394959807395935,0.4376141428947449,0.4440101087093353,0.45185571908950806,case_0903
won,earned,person_2230,gagné,gagné,French,RV,fr,0.28597280383110046,0.27765172719955444,0.24037131667137146,0.2198348045349121,0.22425904870033264,0.2182384431362152,0.7855308055877686,0.7234771847724915,0.6528584361076355,0.6049864292144775,0.5811665058135986,0.5655165314674377,case_0904
nice,gentle,person_2181,agréable,doux,French,RJ,fr,0.30468887090682983,0.31700271368026733,0.30368220806121826,0.2979887127876282,0.2925562560558319,0.28961318731307983,0.4257403016090393,0.38792863488197327,0.35446709394454956,0.35095030069351196,0.3532770276069641,0.35545146465301514,case_0905
interested,interesting,person_2230,intéressé,intéressant,French,RJ,fr,0.359252005815506,0.32605600357055664,0.3245919942855835,0.31874293088912964,0.3069360852241516,0.3035929799079895,0.44563543796539307,0.4344521164894104,0.41961580514907837,0.3989388942718506,0.39600032567977905,0.3908661901950836,case_0906
go,do,person_2230,aller,faire,French,RV,fr,0.6354799866676331,0.5667164325714111,0.4953770637512207,0.44193214178085327,0.4267948865890503,0.4115862250328064,0.5277268886566162,0.508765459060669,0.5457935929298401,0.5247308611869812,0.5134763717651367,0.5021459460258484,case_0907
go,do,person_2230,aller,faire,French,RV,fr,0.6354799866676331,0.5667164325714111,0.4953770637512207,0.44193214178085327,0.4267948865890503,0.4115862250328064,0.5277268886566162,0.508765459060669,0.5457935929298401,0.5247308611869812,0.5134763717651367,0.5021459460258484,case_0908
like,appreciate,person_2230,aime,apprécier,French,RV,fr,0.36256831884384155,0.3546798825263977,0.32293474674224854,0.29623425006866455,0.28840574622154236,0.2810334265232086,0.40306204557418823,0.3827891945838928,0.36804622411727905,0.35250943899154663,0.3352887034416199,0.32852715253829956,case_0909
have,spend,person_865,ont,passer,French,RV,fr,0.2353285551071167,0.24295812845230103,0.23780670762062073,0.2301512211561203,0.23065270483493805,0.22463947534561157,0.30257102847099304,0.2724875211715698,0.2748546600341797,0.26024913787841797,0.26090294122695923,0.2585431635379791,case_0910
stay,live,person_2227,rester,vivre,French,RV,fr,0.2525222897529602,0.23368006944656372,0.22364382445812225,0.21116244792938232,0.19425436854362488,0.18748676776885986,0.44830089807510376,0.42485004663467407,0.3953230679035187,0.4087178111076355,0.41743239760398865,0.4128420054912567,case_0911
equipment,material,person_2227,équipement,matériel,French,RN,fr,0.2793424129486084,0.2514062821865082,0.22941803932189941,0.22506223618984222,0.2238284945487976,0.21988852322101593,0.6337577700614929,0.5579665899276733,0.48637428879737854,0.45828205347061157,0.4530923366546631,0.43844181299209595,case_0912
included,enclosed,person_2230,inclus,clos,French,RJ,fr,0.2533217966556549,0.23041467368602753,0.21689677238464355,0.2041475772857666,0.19359610974788666,0.19040215015411377,0.2162274271249771,0.2151491641998291,0.21068227291107178,0.19346925616264343,0.19349323213100433,0.19396567344665527,case_0913
organising,making,person_1579,organisation,faire,French,RV,fr,0.24289023876190186,0.2555464804172516,0.2542896866798401,0.24690693616867065,0.24157965183258057,0.24251088500022888,0.20197385549545288,0.20227429270744324,0.21460531651973724,0.207880437374115,0.20209865272045135,0.20088471472263336,case_0914
so,then,person_461,donc,puis,French,RY,fr,0.42064368724823,0.3844928741455078,0.3401181101799011,0.31777074933052063,0.31952589750289917,0.3157978951931,0.4272240996360779,0.41871964931488037,0.4169750213623047,0.3962216377258301,0.3824801743030548,0.3817272484302521,case_0915
sincerely,faithfully,person_2739,sincèrement,fidèlement,French,RY,fr,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.34596532583236694,0.3371419310569763,0.3437628746032715,0.34056562185287476,0.3402586579322815,0.33766356110572815,case_0916
time,hours,person_899,temps,heures,French,RN,fr,0.46401748061180115,0.4072752594947815,0.3767932653427124,0.3734127879142761,0.3591424226760864,0.35412973165512085,0.41260045766830444,0.3677140474319458,0.33303263783454895,0.3205191195011139,0.3122047185897827,0.3135818839073181,case_0917
very,so,person_899,très,donc,French,RY,fr,0.4088606536388397,0.4267813563346863,0.4221317768096924,0.4104459881782532,0.402032732963562,0.40044811367988586,0.5287982225418091,0.5289173126220703,0.5050145387649536,0.502426266670227,0.4930589497089386,0.4748455286026001,case_0918
performance,act,person_899,performance,acte,French,RN,fr,0.1905815601348877,0.18520689010620117,0.17375649511814117,0.15525305271148682,0.1454397588968277,0.14426371455192566,0.15585020184516907,0.15058928728103638,0.1374533772468567,0.1458025872707367,0.15332002937793732,0.15353265404701233,case_0919
entertained,pleased,person_899,amusés,plu,French,RV,fr,0.3270396888256073,0.30881673097610474,0.29898980259895325,0.29583555459976196,0.2917213439941406,0.28978586196899414,0.37176868319511414,0.35989511013031006,0.34423553943634033,0.32598161697387695,0.3177085816860199,0.31293874979019165,case_0920
go,come,person_899,aller,venir,French,RV,fr,0.3997579514980316,0.40047991275787354,0.3707098364830017,0.3827647566795349,0.3702765107154846,0.35808417201042175,0.717334508895874,0.6332545280456543,0.5848597884178162,0.5522347688674927,0.528109073638916,0.5192142724990845,case_0921
advertisement,advertising,person_899,publicité,publicité,French,RN,fr,0.7574576735496521,0.676982045173645,0.5969774723052979,0.5624592304229736,0.5439748167991638,0.5266909003257751,0.7902355194091797,0.7064419388771057,0.6168028712272644,0.5645125508308411,0.538733959197998,0.5208240747451782,case_0922
seat,place,person_1674,siège,endroit,French,RN,fr,0.22141197323799133,0.20395433902740479,0.17886406183242798,0.1545707881450653,0.15069609880447388,0.14115716516971588,0.2463921308517456,0.22680823504924774,0.20428377389907837,0.2146753966808319,0.2211027294397354,0.22364968061447144,case_0923
give,offer,person_1674,donner,proposer,French,RV,fr,0.4400208294391632,0.40692853927612305,0.3901897668838501,0.33474409580230713,0.3223782479763031,0.31904882192611694,0.5891571044921875,0.5603778958320618,0.5455608367919922,0.524993896484375,0.5154767036437988,0.5142936706542969,case_0924
management,direction,person_1674,gestion,direction,French,RN,fr,0.14754241704940796,0.13104531168937683,0.12271644920110703,0.12133060395717621,0.11919473856687546,0.11135028302669525,0.3308621048927307,0.3273221552371979,0.31516826152801514,0.31198376417160034,0.3186397850513458,0.30556827783584595,case_0925
explanation,excuse,person_1674,explication,excuse,French,RN,fr,0.3654398024082184,0.34691542387008667,0.336215615272522,0.31413865089416504,0.2942754030227661,0.2860379219055176,0.4468535780906677,0.4342679977416992,0.41783660650253296,0.3924510180950165,0.3848886489868164,0.3794496953487396,case_0926
see,notice,person_2427,voir,apercevoir,French,RV,fr,0.33049190044403076,0.30930668115615845,0.2974579632282257,0.278729647397995,0.2769080400466919,0.2774135172367096,0.6136311292648315,0.5622677206993103,0.5369315147399902,0.5314159989356995,0.5111175775527954,0.4975718855857849,case_0927
wanted,waned,person_2427,voulais,faibli,French,RV,fr,0.21954281628131866,0.1964859962463379,0.20927627384662628,0.20379982888698578,0.2049422562122345,0.2004871666431427,0.1559704840183258,0.1546313762664795,0.17032968997955322,0.17158553004264832,0.17365816235542297,0.1751212477684021,case_0928
play,piece,person_2427,jeu,morceau,French,RN,fr,0.1784437596797943,0.1703202873468399,0.14782482385635376,0.1376744508743286,0.13244836032390594,0.12626639008522034,0.2925255298614502,0.2956697940826416,0.2598820626735687,0.2548190951347351,0.2538580298423767,0.24874979257583618,case_0929
play,pieces,person_2427,jeu,morceaux,French,RN,fr,0.16551297903060913,0.14543232321739197,0.13198557496070862,0.12182989716529846,0.12407137453556061,0.11765727400779724,0.22135376930236816,0.2170056700706482,0.19567659497261047,0.19640982151031494,0.19276686012744904,0.1877913773059845,case_0930
advertisement,advertising,person_899,publicité,publicité,French,RN,fr,0.7574576735496521,0.676982045173645,0.5969774723052979,0.5624592304229736,0.5439748167991638,0.5266909003257751,0.7902355194091797,0.7064419388771057,0.6168028712272644,0.5645125508308411,0.538733959197998,0.5208240747451782,case_0931
given,made,person_2427,donné,fait,French,RV,fr,0.29152610898017883,0.2849792242050171,0.2713848054409027,0.2743401527404785,0.27063030004501343,0.2719380557537079,0.4052058458328247,0.4005417227745056,0.42761480808258057,0.43919336795806885,0.43721628189086914,0.43534862995147705,case_0932
play,pieces,person_2427,jeu,morceaux,French,RN,fr,0.16551297903060913,0.14543232321739197,0.13198557496070862,0.12182989716529846,0.12407137453556061,0.11765727400779724,0.22135376930236816,0.2170056700706482,0.19567659497261047,0.19640982151031494,0.19276686012744904,0.1877913773059845,case_0933
annoyed,sorry,person_2427,ennuyé,désolé,French,RJ,fr,0.4042508602142334,0.3747716546058655,0.3679145276546478,0.34667322039604187,0.34677553176879883,0.3435102105140686,0.4458135664463043,0.4272734224796295,0.39548683166503906,0.3831532299518585,0.3739583492279053,0.36891281604766846,case_0934
perform,play,person_2427,effectuer,jouer,French,RV,fr,0.29662883281707764,0.2513970136642456,0.21923457086086273,0.20474109053611755,0.20001134276390076,0.1975715011358261,0.3038443326950073,0.3048960268497467,0.2978190779685974,0.32977211475372314,0.3337971568107605,0.34136685729026794,case_0935
had,spent,person_2427,avait,passé,French,RV,fr,0.3048818111419678,0.29782530665397644,0.2719617486000061,0.26820504665374756,0.27335262298583984,0.27408504486083984,0.3526596426963806,0.33908164501190186,0.31307852268218994,0.32505518198013306,0.3187171518802643,0.31826919317245483,case_0936
performed,played,person_2427,effectué,joué,French,RV,fr,0.34524333477020264,0.31133243441581726,0.268195778131485,0.282766729593277,0.2825703024864197,0.28302687406539917,0.3256852626800537,0.3162388801574707,0.3163225054740906,0.3259264826774597,0.3455832600593567,0.3571467101573944,case_0937
sir,mister,person_2427,monsieur,monsieur,French,RN,fr,0.44689589738845825,0.45484039187431335,0.4251529574394226,0.4051642119884491,0.3884938359260559,0.3828051686286926,0.7946270704269409,0.7212783098220825,0.6543595194816589,0.6078843474388123,0.5785398483276367,0.5596941709518433,case_0938
side,end,person_686,côté,fin,French,RN,fr,0.2852652668952942,0.25710251927375793,0.2436220943927765,0.23138268291950226,0.22728854417800903,0.22411683201789856,0.2859165370464325,0.27781057357788086,0.26092299818992615,0.25702664256095886,0.2541908621788025,0.25313156843185425,case_0939
special,particular,person_686,spécial,particulier,French,RJ,fr,0.2957132160663605,0.27359873056411743,0.2691890597343445,0.2653781771659851,0.2613639831542969,0.25219279527664185,0.3587374687194824,0.39246678352355957,0.3964851498603821,0.3658275008201599,0.35673627257347107,0.3485372066497803,case_0940
involves,uses,person_686,implique,utilise,French,RV,fr,0.3795619010925293,0.33614200353622437,0.34399616718292236,0.35468047857284546,0.35357624292373657,0.35147589445114136,0.4021896719932556,0.3956209421157837,0.3759690523147583,0.3835926651954651,0.3857603669166565,0.3829471468925476,case_0941
particular,personal,person_686,particulier,personnel,French,RJ,fr,0.21701470017433167,0.20655328035354614,0.19121798872947693,0.1984337866306305,0.1958794891834259,0.2009614109992981,0.35760605335235596,0.36817604303359985,0.3525342345237732,0.34721839427948,0.345070481300354,0.35198745131492615,case_0942
particular,precise,person_686,particulier,précis,French,RJ,fr,0.22793835401535034,0.25292810797691345,0.228247731924057,0.21985262632369995,0.21688388288021088,0.21284303069114685,0.3549129366874695,0.3398088812828064,0.34788835048675537,0.3422681987285614,0.34765470027923584,0.3509969711303711,case_0943
studied,learned,person_686,étudié,appris,French,RV,fr,0.3794935643672943,0.3966293931007385,0.3370252847671509,0.34188026189804077,0.34221214056015015,0.3323541581630707,0.4211750626564026,0.4245413541793823,0.3919978439807892,0.39886170625686646,0.4000124931335449,0.40106910467147827,case_0944
allows,authorizes,person_686,permet,autorise,French,RV,fr,0.4335138201713562,0.4012452960014343,0.3995414078235626,0.3862159848213196,0.37202614545822144,0.3747604489326477,0.5342003703117371,0.4978690445423126,0.4849494993686676,0.47068753838539124,0.45791739225387573,0.44777172803878784,case_0945
use,phone,person_686,utiliser,téléphone,French,RV,fr,0.1431177407503128,0.13528947532176971,0.13124310970306396,0.12066453695297241,0.12131474912166595,0.11906695365905762,0.1954466700553894,0.20115810632705688,0.18089359998703003,0.17518481612205505,0.17530134320259094,0.17516306042671204,case_0946
offered,proposed,person_2427,offert,proposé,French,RV,fr,0.2576001286506653,0.22444546222686768,0.23348966240882874,0.24254179000854492,0.24027025699615479,0.2325986623764038,0.5878322124481201,0.5681141018867493,0.5040619969367981,0.4882139265537262,0.48107561469078064,0.46735769510269165,case_0947
worst,worth,person_899,pire,vaut,French,RJ,fr,0.11438608169555664,0.12084807455539703,0.13182732462882996,0.12638196349143982,0.13217028975486755,0.13251599669456482,0.3650527000427246,0.3506283462047577,0.34137386083602905,0.3316190242767334,0.3288589119911194,0.32975006103515625,case_0948
got,put,person_899,obtenu,mettre,French,RV,fr,0.3946010172367096,0.3676905632019043,0.3924694359302521,0.38044682145118713,0.3698139786720276,0.36212241649627686,0.2011943757534027,0.20123955607414246,0.19266027212142944,0.2007288932800293,0.20428124070167542,0.2047889530658722,case_0949
was,had,person_899,était,avait,French,RV,fr,0.570400059223175,0.5780941247940063,0.5032697319984436,0.48435360193252563,0.4631531834602356,0.4562388062477112,0.6931636333465576,0.67240142822265625,0.6280452013015747,0.600365400314331,0.5915788412094116,0.5837785005569458,case_0950
there,here,person_699,là,ici,French,RY,fr,0.4126480221748352,0.38014891743659973,0.35716161131858826,0.3386729955673218,0.33560168743133545,0.3267894685268402,0.3543456792831421,0.3289862275123596,0.3177332580089569,0.2940405011177063,0.28373250365257263,0.2726309895515442,case_0951
statement,point,person_699,déclaration,point,French,RN,fr,0.23659078776836395,0.23302346467971802,0.21155084669589996,0.20725826919078827,0.20369330048561096,0.20032039284706116,0.20240503549575806,0.1771736443042755,0.1813202202320099,0.18869012594223022,0.19192302227020264,0.19367338716983795,case_0952
give,offer,person_699,donner,proposer,French,RV,fr,0.4400208294391632,0.40692853927612305,0.3901897668838501,0.33474409580230713,0.3223782479763031,0.31904882192611694,0.5891571044921875,0.5603778958320618,0.5455608367919922,0.524993896484375,0.5154767036437988,0.5142936706542969,case_0953
give,offer,person_2362,donner,proposer,French,RV,fr,0.4400208294391632,0.40692853927612305,0.3901897668838501,0.33474409580230713,0.3223782479763031,0.31904882192611694,0.5891571044921875,0.5603778958320618,0.5455608367919922,0.524993896484375,0.5154767036437988,0.5142936706542969,case_0954
certainly,surely,person_2362,certainement,sûrement,French,RY,fr,0.7802734375,0.7128777503967285,0.6411014795303345,0.6034579277038574,0.5761109590530396,0.5564550161361694,0.8959217667579651,0.8353784084320068,0.7449543476104736,0.699298620223999,0.6681252717971802,0.6470089554786682,case_0955
obviously,apparently,person_2362,évidemment,apparemment,French,RY,fr,0.7417966723442078,0.6545436382293701,0.60408616065979,0.5598928928375244,0.5379679203033447,0.5319926738739014,0.6744611263275146,0.6648805141448975,0.6727340221405029,0.6574777364730835,0.6334929466247559,0.6245743036270142,case_0956
dependent,reliable,person_870,dépendant,fiable,French,RJ,fr,0.2775394320487976,0.24229881167411804,0.22071567177772522,0.21347980201244354,0.20563124120235443,0.20013996958732605,0.25165629386901855,0.24018225073814392,0.22929957509040833,0.225531205534935,0.22639162838459015,0.22869336605072021,case_0957
research,searches,person_870,recherche,recherches,French,RN,fr,0.3177892863750458,0.3110949993133545,0.29578012228012085,0.287289559841156,0.2737649083137512,0.25499221682548523,0.5554078817367554,0.5254665613174438,0.4333866834640503,0.4033215045928955,0.38430875539779663,0.3719106912612915,case_0958
part,place,person_870,partie,endroit,French,RN,fr,0.28951913118362427,0.2592041492462158,0.25282588601112366,0.24281086027622223,0.2439044862985611,0.23586970567703247,0.180855393409729,0.18832924962043762,0.2019999623298645,0.20815780758857727,0.21370163559913635,0.21618673205375671,case_0959
really,very,person_870,vraiment,très,French,RY,fr,0.5253487825393677,0.4909748435020447,0.4865401089191437,0.4753642678260803,0.4685911536216736,0.4640321433544159,0.6382683515548706,0.6299099326133728,0.6132779121398926,0.593775749206543,0.578582763671875,0.5632014274597168,case_0960
