c,i,id,l1_c,l1_i,language,type,code,english_overlap
colder,cooler,person_1164,frío,fresco,Spanish,RJ,es,0.5805065634302145
stressful,workable,person_1164,estresante,realizable,Spanish,RJ,es,0.16741985812551202
fall,get,person_1164,caerse,conseguir,Spanish,RV,es,0.18500087533829285
becoming,being,person_1164,volviendo,ser,Spanish,RV,es,0.4334496066524943
chance,possibility,person_1164,oportunidad,posibilidad,Spanish,RN,es,0.3617718178731056
was,has,person_155,fue,ha,Spanish,RV,es,0.351056223326788
also,besides,person_155,también,además,Spanish,RY,es,0.3029263913426048
had,spent,person_155,tenía,gastado,Spanish,RV,es,0.2785227449931196
arranging,preparing,person_155,arreglo,preparando,Spanish,RV,es,0.3180393295024241
states,appears,person_1011,declara,aparece,Spanish,RV,es,0.18331516848429397
really,heavily,person_1011,realmente,pesadamente,Spanish,RY,es,0.2295025712698978
hadnt,didn't,person_1011,hubiera,no,Spanish,RV,es,0.2895388539350734
had,got,person_1011,tenía,tiene,Spanish,RV,es,0.5548759252093133
advances,modernizes,person_1011,avances,moderniza,Spanish,RV,es,0.2006563830251602
doing,making,person_1011,haciendo,hacer,Spanish,RV,es,0.3481019676560281
playing,listening,person_2295,jugando,escuchar,Spanish,RV,es,0.3147177364919965
definitely,definitively,person_2295,definitivamente,definitivamente,Spanish,RY,es,0.28535586360758036
refurbishment,renewal,person_2295,remodelación,renovación,Spanish,RN,es,0.2740267994470088
advertisement,advertising,person_2295,anuncio,publicidad,Spanish,RN,es,0.6640600801954202
give,make,person_2295,dar,hacer,Spanish,RV,es,0.3815471786107779
audience,public,person_2295,audiencia,público,Spanish,RN,es,0.21200947255409291
type,model,person_2295,tipo,modelo,Spanish,RN,es,0.2241338516613981
average,common,person_1575,promedio,común,Spanish,RJ,es,0.15195086221200457
actual,formal,person_1575,real,formal,Spanish,RJ,es,0.17721778673474523
using,discus,person_1575,usando,disco,Spanish,RV,es,0.05999883140939269
get,have,person_1429,conseguir,tener,Spanish,RV,es,0.46326255603942595
supposed,announced,person_1429,supone,anunció,Spanish,RV,es,0.21014987880361274
have,spend,person_1429,tener,pasar,Spanish,RV,es,0.2353769104307959
advertised,announce,person_1429,anunciado,anunciar,Spanish,RV,es,0.16063574158279065
do,make,person_1429,hacer,hacer,Spanish,RV,es,0.3857835826030168
asked,said,person_140,preguntó,dijo,Spanish,RV,es,0.37674803818851343
irritable,nervous,person_140,irritable,nervioso,Spanish,RJ,es,0.37995336548364167
doing,making,person_140,haciendo,hacer,Spanish,RV,es,0.3481019676560281
aspect,point,person_140,aspecto,punto,Spanish,RN,es,0.2788562579273318
had,reaching,person_140,tenía,alcanzar,Spanish,RV,es,0.13377742301448042
losing,loosing,person_140,perder,perder,Spanish,RV,es,0.6605662070056195
said,read,person_424,dijo,leer,Spanish,RV,es,0.10381729707709053
performed,participated,person_424,realizado,participado,Spanish,RV,es,0.29527863145158884
time,hour,person_424,tiempo,hora,Spanish,RN,es,0.3798562468256748
alarm,timer,person_424,alarma,temporizador,Spanish,RN,es,0.38220251920395765
get,stand,person_424,conseguir,pararse,Spanish,RV,es,0.27271608340961184
arrive,reach,person_424,llegar,alcanzar,Spanish,RV,es,0.21224319441584721
lose,loose,person_424,perder,suelto,Spanish,RV,es,0.27597430367560716
had,found,person_2252,tenía,encontrado,Spanish,RV,es,0.36766559463806836
go,get,person_2252,ir,conseguir,Spanish,RV,es,0.3920601421175638
intention,purpose,person_2252,intención,propósito,Spanish,RN,es,0.4325353408150209
have,take,person_2252,tener,tomar,Spanish,RV,es,0.31359817262506395
on,in,person_2252,en,en,Spanish,RY,es,0.3553311706486082
large,big,person_2252,grande,gran,Spanish,RJ,es,0.5406269916831152
invention,advance,person_2252,invención,avanzan,Spanish,RN,es,0.11587817909400418
producer,exhibitor,person_2723,productor,expositor,Spanish,RN,es,0.21939422859673094
came,went,person_2723,vino,fue,Spanish,RV,es,0.6422990214311866
published,announced,person_1809,publicado,anunció,Spanish,RV,es,0.24794584619436144
main,strongest,person_1809,principal,fuerte,Spanish,RJ,es,0.2050713389550517
only,just,person_1809,sólo,sólo,Spanish,RY,es,0.523938030199832
advance,improvement,person_1809,avanzan,mejora,Spanish,RN,es,0.14141897121163263
give,made,person_2669,dar,hecho,Spanish,RV,es,0.20443465881686437
get,have,person_2669,conseguir,tener,Spanish,RV,es,0.46326255603942595
problem,question,person_2669,problema,pregunta,Spanish,RN,es,0.3677858250275826
said,advised,person_2669,dijo,aconsejado,Spanish,RV,es,0.24705520078614474
had,found,person_2669,tenía,encontrado,Spanish,RV,es,0.36766559463806836
problems,faults,person_2669,problemas,fallas,Spanish,RN,es,0.39007519938565127
cafe,coffee,person_2669,cafe,café,Spanish,RN,es,0.4728075522102585
went,were,person_2720,fue,fueron,Spanish,RV,es,0.41485096774208463
wrong,false,person_2720,equivocado,falso,Spanish,RJ,es,0.3200344240261775
closed,close,person_2720,cerrado,cerca,Spanish,RJ,es,0.2623544938379053
results,qualifications,person_2720,resultados,calificaciones,Spanish,RN,es,0.14449352089849116
didn't,couldn't,person_1448,no,podía,Spanish,RV,es,0.8521369104017731
mess,troubles,person_1448,lío,apuros,Spanish,RN,es,0.260214327964713
made,did,person_1448,hecho,hizo,Spanish,RV,es,0.290549075744307
would,could,person_1448,haría,podría,Spanish,RV,es,0.6650887562282077
had,should,person_1448,tenía,debería,Spanish,RV,es,0.38038489342219656
event,fact,person_2223,evento,hecho,Spanish,RN,es,0.1974496697994078
valid,available,person_2223,válido,disponible,Spanish,RJ,es,0.2198458868021746
take,invite,person_2223,tomar,invitar,Spanish,RV,es,0.2649857299578492
published,gave,person_2424,publicado,dio,Spanish,RV,es,0.12089752680283405
done,made,person_2424,hecho,hecho,Spanish,RV,es,0.2661939435558714
instance,case,person_2424,instancia,caso,Spanish,RN,es,0.33852378695823676
minute,moment,person_2424,minuto,momento,Spanish,RN,es,0.3131203376703856
projects,works,person_2424,proyectos,obras,Spanish,RN,es,0.24938504035799214
access,facility,person_2424,acceso,instalación,Spanish,RN,es,0.1897745096657663
stated,noticed,person_1933,declaró,notado,Spanish,RV,es,0.32413144206760897
now,nowadays,person_1933,ahora,actualmente,Spanish,RY,es,0.32234410134130975
extras,facilities,person_719,extras,instalaciones,Spanish,RN,es,0.1673084039208484
offering,giving,person_719,ofreciendo,dando,Spanish,RV,es,0.358796126511306
type,category,person_719,tipo,categoría,Spanish,RN,es,0.2686500939055734
complain,comply,person_719,quejarse,cumplir,Spanish,RV,es,0.1623174868595895
do,make,person_719,hacer,hacer,Spanish,RV,es,0.3857835826030168
up,at,person_719,arriba,en,Spanish,RY,es,0.2980652625015043
meant,made,person_719,significaba,hecho,Spanish,RV,es,0.3058615208845841
creates,brings,person_2143,crea,trae,Spanish,RV,es,0.5234234950037728
getting,going,person_2143,recibiendo,va,Spanish,RV,es,0.4974048997750572
just,only,person_2143,sólo,sólo,Spanish,RY,es,0.523938030199832
be,have,person_65,ser,tener,Spanish,RV,es,0.44710093795198513
publish,present,person_65,publicar,presentar,Spanish,RV,es,0.11076104324582903
do,make,person_65,hacer,hacer,Spanish,RV,es,0.3857835826030168
ways,aspects,person_65,maneras,aspectos,Spanish,RN,es,0.28922893674730454
do,make,person_65,hacer,hacer,Spanish,RV,es,0.3857835826030168
to,around,person_127,a,alrededor,Spanish,RY,es,0.20045381557579156
irritable,nervous,person_2609,irritable,nervioso,Spanish,RJ,es,0.37995336548364167
find,fine,person_2609,encontrar,fina,Spanish,RV,es,0.14073156935038683
characteristics,features,person_2609,características,características,Spanish,RN,es,0.32949267534595994
supposed,said,person_2609,supone,dijo,Spanish,RV,es,0.16679609058118408
accept,approve,person_2609,aceptar,aprobar,Spanish,RV,es,0.374643268755277
angry,hungry,person_2609,enojado,hambre,Spanish,RJ,es,0.32277021443918663
harshly,hard,person_2609,duramente,mucho,Spanish,RY,es,0.2153881431420614
harshly,hardly,person_2609,duramente,apenas,Spanish,RY,es,0.20138471388229084
appliances,machines,person_1472,electrodomésticos,máquinas,Spanish,RN,es,0.2728638923573611
created,done,person_1472,creado,hecho,Spanish,RV,es,0.22032545162385467
going,getting,person_2755,va,recibiendo,Spanish,RV,es,0.4974048997750572
scheduled,planned,person_2755,programado,planeado,Spanish,RV,es,0.48547444960561764
let,make,person_2580,dejar,hacer,Spanish,RV,es,0.3744327559601076
give,make,person_2580,dar,hacer,Spanish,RV,es,0.3815471786107779
would,could,person_2580,haría,podría,Spanish,RV,es,0.6650887562282077
call,make,person_2580,llamar,hacer,Spanish,RV,es,0.23295163826983306
ruined,ended,person_2580,arruinado,terminó,Spanish,RV,es,0.24711422114419943
made,put,person_8,hecho,poner,Spanish,RV,es,0.23080235705787686
annoyed,nervous,person_8,molesto,nervioso,Spanish,RJ,es,0.35192278813165123
hadnt,wasn't,person_8,hubiera,no,Spanish,RV,es,0.28162738298028456
said,told,person_8,dijo,dije,Spanish,RV,es,0.47004245648758336
purpose,point,person_2032,propósito,punto,Spanish,RN,es,0.24993115630447077
fail,miss,person_2032,fallar,perder,Spanish,RV,es,0.25651870920309366
giving,saying,person_2032,dando,diciendo,Spanish,RV,es,0.26572945796668335
relationship,relation,person_2032,relación,relación,Spanish,RN,es,0.42486423360964265
do,be,person_2032,hacer,ser,Spanish,RV,es,0.47257760408035904
audience,spectators,person_2391,audiencia,espectadores,Spanish,RN,es,0.331528075365612
wish,think,person_1459,gustaría,pensar,Spanish,RV,es,0.4576434130968157
get,have,person_1459,conseguir,tener,Spanish,RV,es,0.46326255603942595
kiosk,cabin,person_1459,quiosco,cabina,Spanish,RN,es,0.1139615370032568
talk,tell,person_1459,hablar,dile,Spanish,RV,es,0.3278195235020621
visit,arrangement,person_1707,visita,arreglo,Spanish,RN,es,0.055173941170520366
stage,scene,person_1707,etapa,escena,Spanish,RN,es,0.277630454874525
cure,face,person_1707,curarlo,enfrentar,Spanish,RV,es,0.05937052194392037
tears,teas,person_1707,lágrimas,tés,Spanish,RN,es,0.06305643648865686
see,appreciate,person_1707,ver,apreciar,Spanish,RV,es,0.33200685902196436
refused,denied,person_1707,negado,negó,Spanish,RV,es,0.5170654852399588
gave,made,person_1048,dio,hecho,Spanish,RV,es,0.26322262480299674
seat,place,person_1048,asiento,lugar,Spanish,RN,es,0.19557621710043083
taken,used,person_1048,tomado,utilizado,Spanish,RV,es,0.2345811018562387
seat,place,person_1048,asiento,lugar,Spanish,RN,es,0.19557621710043083
discovered,find,person_1048,descubierto,encontrar,Spanish,RV,es,0.3403485728557396
climbed,went,person_1048,subió,fue,Spanish,RV,es,0.39933766241931046
describe,explain,person_1841,describir,explicar,Spanish,RV,es,0.4831313784951171
didn't,hadnt,person_1841,no,hubiera,Spanish,RV,es,0.2895388539350734
bad,wrong,person_1841,malo,equivocado,Spanish,RJ,es,0.36599957560330265
supposed,expected,person_1699,supone,espera,Spanish,RV,es,0.31876227682795866
somewhere,anywhere,person_1699,algo,dondequiera,Spanish,RY,es,0.4716670361693744
wouldn't,didn't,person_56,no,no,Spanish,RV,es,0.8573796742656221
throw,give,person_56,tirar,dar,Spanish,RV,es,0.2946832416583097
delicious,delightful,person_56,delicioso,encantador,Spanish,RJ,es,0.5343226812999984
entitled,titled,person_869,titulado,titulado,Spanish,RJ,es,0.5216167026432719
cooking,cook,person_2203,cocina,cocinero,Spanish,RN,es,0.6007777025845621
nearly,hardly,person_2203,casi,apenas,Spanish,RY,es,0.3858585540987911
nearly,mostly,person_2203,casi,mayormente,Spanish,RY,es,0.2773885575840529
see,watch,person_2203,ver,ver,Spanish,RV,es,0.3403989138110711
took,was,person_2773,tomó,fue,Spanish,RV,es,0.4221413680839985
yesterday,last,person_2773,ayer,última,Spanish,RJ,es,0.3793034638717666
price,prize,person_2773,precio,premio,Spanish,RN,es,0.16919142515815622
affordable,available,person_2773,asequible,disponible,Spanish,RJ,es,0.266887161590742
compensation,reward,person_1091,compensación,recompensa,Spanish,RN,es,0.26552919990613805
likely,lively,person_1091,probable,animado,Spanish,RJ,es,0.12913302495769458
was,got,person_2200,fue,tiene,Spanish,RV,es,0.45021301940745917
closed,close,person_2200,cerrado,cerca,Spanish,RJ,es,0.2623544938379053
eventually,finally,person_2200,eventualmente,finalmente,Spanish,RY,es,0.4977655834969186
advertised,announced,person_880,anunciado,anunció,Spanish,RV,es,0.19354226097951277
refund,return,person_880,reembolso,retorno,Spanish,RN,es,0.37358125656176683
put,take,person_880,poner,tomar,Spanish,RV,es,0.46946298121734764
when,while,person_1899,cuando,mientras,Spanish,RY,es,0.49967073039318777
understanding,comprehensive,person_1899,comprensiva,comprensivo,Spanish,RJ,es,0.27890971667951064
come,go,person_1899,venir,ir,Spanish,RV,es,0.3942303111419888
surprising,rare,person_1899,sorprendente,raro,Spanish,RJ,es,0.32486526369574764
bad,wrong,person_1899,malo,equivocado,Spanish,RJ,es,0.36599957560330265
immediately,rapidly,person_1899,inmediatamente,rápidamente,Spanish,RY,es,0.35332181345630975
ending,final,person_1899,final,definitiva,Spanish,RN,es,0.2998302851517782
imagination,fantasy,person_1899,imaginación,fantasía,Spanish,RN,es,0.3137938605066518
full,complete,person_2402,completo,completa,Spanish,RJ,es,0.4375908938844666
occurred,had,person_2600,ocurrió,tenía,Spanish,RV,es,0.29990336688323893
advertised,published,person_2600,anunciado,publicado,Spanish,RV,es,0.18813603832981918
get,gave,person_2600,conseguir,dio,Spanish,RV,es,0.3675838451233501
account,description,person_2600,cuenta,descripción,Spanish,RN,es,0.16695104111943765
resolved,solved,person_2600,resuelto,solucionado,Spanish,RV,es,0.5504525163571963
problem,trouble,person_2600,problema,problemas,Spanish,RN,es,0.438150879698871
star,protagonist,person_2748,estrella,protagonista,Spanish,RN,es,0.2063102231499253
race,being,person_2748,raza,ser,Spanish,RN,es,0.1318747276110641
engine,machine,person_2748,motor,máquina,Spanish,RN,es,0.22966107342240205
do,take,person_2748,hacer,tomar,Spanish,RV,es,0.32496148548175047
was,came,person_1081,fue,vino,Spanish,RV,es,0.5220395929783348
meant,involved,person_1081,significaba,involucrado,Spanish,RV,es,0.19878639660954886
thing,point,person_1081,cosa,punto,Spanish,RN,es,0.3792234387944786
decided,determined,person_1081,decidido,determinado,Spanish,RV,es,0.29751563173212403
tell,say,person_86,dile,decir,Spanish,RV,es,0.5707501672534092
replaced,changed,person_86,substituido,cambiado,Spanish,RV,es,0.342784869921957
repairs,reparations,person_86,reparaciones,reparaciones,Spanish,RN,es,0.21988616265372962
told,answered,person_86,dije,respondió,Spanish,RV,es,0.3773472118411956
get,have,person_1134,conseguir,tener,Spanish,RV,es,0.46326255603942595
states,puts,person_1134,declara,pone,Spanish,RV,es,0.1590781789022806
was,got,person_1134,fue,tiene,Spanish,RV,es,0.45021301940745917
asked,told,person_1134,preguntó,dije,Spanish,RV,es,0.5829959086942467
had,did,person_1134,tenía,hizo,Spanish,RV,es,0.49270423545409725
performed,presented,person_878,realizado,presentó,Spanish,RV,es,0.28969113415807
described,mentioned,person_878,descrito,mencionado,Spanish,RV,es,0.45844087121184285
keeps,makes,person_878,mantiene,hace,Spanish,RV,es,0.3554437298277005
liked,appreciated,person_688,gustó,apreciado,Spanish,RV,es,0.32117858752466044
replaced,changed,person_688,substituido,cambiado,Spanish,RV,es,0.342784869921957
replacement,change,person_688,recambio,cambio,Spanish,RN,es,0.16747068793790487
get,have,person_688,conseguir,tener,Spanish,RV,es,0.46326255603942595
explanation,answer,person_688,explicación,respuesta,Spanish,RN,es,0.41444623649459944
not,no,person_688,no,ningún,Spanish,RY,es,0.3391300655324071
far,long,person_688,lejos,tiempo,Spanish,RY,es,0.3391822072364814
spend,stay,person_688,pasar,quedarse,Spanish,RV,es,0.25057912985143294
various,different,person_2763,varios,diferentes,Spanish,RJ,es,0.46226066049435544
things,points,person_2763,cosas,puntos,Spanish,RN,es,0.20561309404629244
disappointed,disappointing,person_2763,decepcionado,decepcionante,Spanish,RJ,es,0.592304820577084
went,was,person_2763,fue,fue,Spanish,RV,es,0.5208303311804104
really,absolutely,person_2763,realmente,absolutamente,Spanish,RY,es,0.42848909148810976
tell,say,person_2763,dile,decir,Spanish,RV,es,0.5707501672534092
written,made,person_2763,escrito,hecho,Spanish,RV,es,0.18061870094541188
amusing,amused,person_2763,divertido,divertida,Spanish,RJ,es,0.493017810372393
see,check,person_2763,ver,comprobar,Spanish,RV,es,0.36287595681303364
subject,point,person_2763,sujeto,punto,Spanish,RN,es,0.16839610256784066
embarrassing,embarrassed,person_2671,embarazoso,avergonzado,Spanish,RJ,es,0.5803511637740313
invited,offered,person_2671,invitado,ofrecido,Spanish,RV,es,0.29327734855906307
had,could,person_2671,tenía,podría,Spanish,RV,es,0.4753392645636243
was,had,person_2671,fue,tenía,Spanish,RV,es,0.5504916256985617
get,make,person_2671,conseguir,hacer,Spanish,RV,es,0.4089153007822184
fell,felt,person_2671,cayó,sentía,Spanish,RV,es,0.28470458992916814
had,did,person_2671,tenía,hizo,Spanish,RV,es,0.49270423545409725
time,moment,person_1224,tiempo,momento,Spanish,RN,es,0.42699941774793626
replace,change,person_1224,reemplazar,cambiar,Spanish,RV,es,0.2444249279032108
position,case,person_1224,posición,caso,Spanish,RN,es,0.15487733256139785
audience,people,person_1224,audiencia,gente,Spanish,RN,es,0.24613129202596845
lawyer,layer,person_1224,abogado,capa,Spanish,RN,es,-0.013285522244303134
lover,love,person_1224,amante,amor,Spanish,RN,es,0.28798906559427495
spent,passed,person_1224,gastado,pasado,Spanish,RV,es,0.18126358725726027
told,said,person_1224,dije,dijo,Spanish,RV,es,0.47004245648758336
denied,refused,person_1224,negó,negado,Spanish,RV,es,0.5170654852399588
open,available,person_2261,abierto,disponible,Spanish,RJ,es,0.23592642280384635
interest,attention,person_2261,interés,atención,Spanish,RN,es,0.3475826587809797
untrue,wrong,person_758,falso,equivocado,Spanish,RJ,es,0.39645464834066874
imprison,close,person_758,encarcelar,cerrar,Spanish,RV,es,0.024685144334511876
away,far,person_758,lejos,lejos,Spanish,RY,es,0.37588393186341984
mind,opinion,person_758,mente,opinión,Spanish,RN,es,0.2934305997280342
consciousness,conscience,person_758,conciencia,conciencia,Spanish,RN,es,0.3098363916415978
let,left,person_758,dejar,dejó,Spanish,RV,es,0.1803482468257879
do,make,person_1386,hacer,hacer,Spanish,RV,es,0.3857835826030168
price,prize,person_160,precio,premio,Spanish,RN,es,0.16919142515815622
disappointed,disappointing,person_2075,decepcionado,decepcionante,Spanish,RJ,es,0.592304820577084
were,do,person_2075,fueron,hacer,Spanish,RV,es,0.2680242385613315
unpleasant,uncomfortable,person_2075,desagradable,incómodo,Spanish,RJ,es,0.47830784842491025
computers,technology,person_2075,ordenadores,tecnología,Spanish,RN,es,0.3381796339739668
help,lead,person_2075,ayudar,llevar,Spanish,RV,es,0.21066557871459965
interested,interesting,person_2075,interesado,interesante,Spanish,RJ,es,0.31248637419861225
time,hour,person_824,tiempo,hora,Spanish,RN,es,0.3798562468256748
shows,is,person_824,muestra,es,Spanish,RV,es,0.21970902140088125
does,was,person_824,hace,fue,Spanish,RV,es,0.2190422581728242
completely,absolutely,person_824,completamente,absolutamente,Spanish,RY,es,0.47118386679861973
told,said,person_1544,dije,dijo,Spanish,RV,es,0.47004245648758336
fake,false,person_1544,falso,falso,Spanish,RJ,es,0.4187159414373668
shows,is,person_1544,muestra,es,Spanish,RV,es,0.21970902140088125
actor,act,person_1544,actor,acto,Spanish,RN,es,0.22410579834879518
have,make,person_1544,tener,hacer,Spanish,RV,es,0.27043723827473015
get,have,person_2299,conseguir,tener,Spanish,RV,es,0.46326255603942595
had,was,person_2299,tenía,fue,Spanish,RV,es,0.5504916256985617
open,do,person_2299,abrirse,hacer,Spanish,RV,es,0.1223132201812166
refund,refuse,person_2299,reembolsar,niego,Spanish,RV,es,0.21153220012617818
came,started,person_2299,vino,iniciado,Spanish,RV,es,0.5520282909155234
had,spent,person_2299,tenía,gastado,Spanish,RV,es,0.2785227449931196
go,come,person_2299,ir,venir,Spanish,RV,es,0.3942303111419888
angry,nervous,person_2299,enojado,nervioso,Spanish,RJ,es,0.3183915312198441
explain,show,person_762,explicar,mostrar,Spanish,RV,es,0.19938500872974846
mistakes,faults,person_762,errores,fallas,Spanish,RN,es,0.4256094178747678
walked,stepped,person_762,caminó,caminó,Spanish,RV,es,0.5600118134962508
normal,common,person_762,normal,común,Spanish,RJ,es,0.21629669713681343
was,took,person_762,fue,tomó,Spanish,RV,es,0.4221413680839985
waste,lose,person_1627,desperdiciar,perder,Spanish,RV,es,0.1602788848582944
tell,explain,person_1627,dile,explicar,Spanish,RV,es,0.47758973818660533
fell,felt,person_1627,cayó,sentía,Spanish,RV,es,0.28470458992916814
biting,eating,person_1627,morder,comer,Spanish,RV,es,0.2811116115276528
won't,don't,person_1627,no,no,Spanish,RV,es,0.8317591041420493
disappointing,disappointed,person_1194,decepcionante,decepcionado,Spanish,RJ,es,0.592304820577084
experienced,seen,person_1194,experimentado,visto,Spanish,RV,es,0.3118507574575722
part,side,person_1194,parte,lado,Spanish,RN,es,0.23809335686486033
yet,already,person_1194,todavía,ya,Spanish,RY,es,0.39112211200321073
considering,seen,person_1194,considerando,visto,Spanish,RV,es,0.24726504740914723
thing,way,person_1194,cosa,manera,Spanish,RN,es,0.44019512136955163
thing,way,person_1194,cosa,manera,Spanish,RN,es,0.44019512136955163
thing,way,person_1194,cosa,manera,Spanish,RN,es,0.44019512136955163
maintain,have,person_1194,mantener,tener,Spanish,RV,es,0.19008886906441214
dependence,independence,person_1194,dependencia,independencia,Spanish,RN,es,0.29078454275376076
was,got,person_2674,fue,tiene,Spanish,RV,es,0.45021301940745917
ago,before,person_2674,hace,antes,Spanish,RY,es,0.3367218913396709
leave,get,person_2674,dejar,conseguir,Spanish,RV,es,0.3577855669631286
sir,mr,person_2648,señor,sr.,Spanish,RN,es,0.3080013212757814
showing,performing,person_2648,mostrando,escénicas,Spanish,RV,es,0.22134345247809095
express,show,person_2264,expresar,mostrar,Spanish,RV,es,0.0997442638496122
game,match,person_2264,juego,partido,Spanish,RN,es,0.29558355360196265
tell,say,person_2264,dile,decir,Spanish,RV,es,0.5707501672534092
hygiene,cleaning,person_1744,higiene,limpieza,Spanish,RN,es,0.3393783219021825
need,used,person_1744,necesita,utilizado,Spanish,RV,es,0.2882384626435642
do,find,person_1744,hacer,encontrar,Spanish,RV,es,0.3674054104770089
talk,speak,person_2107,hablar,hablar,Spanish,RV,es,0.2823262678244861
grateful,thankful,person_426,agradecido,agradecido,Spanish,RJ,es,0.6796074261254261
lit,lightened,person_426,encendió,aligerado,Spanish,RV,es,0.25077696225225626
notifying,noticing,person_1167,notificación,notar,Spanish,RV,es,0.2984468586023644
camp,camping,person_1167,campamento,camping,Spanish,RN,es,0.42354027507671144
buy,afford,person_1167,comprar,permitirse,Spanish,RV,es,0.40791579807972955
go,move,person_1167,ir,mover,Spanish,RV,es,0.25527455206703015
extremely,too,person_1167,extremadamente,demasiado,Spanish,RY,es,0.4842225234107077
pressure,stress,person_2446,presión,estrés,Spanish,RN,es,0.3965337321407504
have,be,person_2693,tener,ser,Spanish,RV,es,0.44710093795198513
clothing,cloth,person_2693,ropa,paño,Spanish,RN,es,0.3569665235096017
stars,starts,person_2693,estrellas,arranques,Spanish,RN,es,0.06786130852834907
give,tell,person_2693,dar,dile,Spanish,RV,es,0.4242133453061221
intense,good,person_1364,intenso,buena,Spanish,RJ,es,0.16586131194443904
get,have,person_1364,conseguir,tener,Spanish,RV,es,0.46326255603942595
ago,before,person_1364,hace,antes,Spanish,RY,es,0.3367218913396709
might,would,person_1364,podría,haría,Spanish,RV,es,0.6601049363481981
making,wining,person_974,hacer,vinificación,Spanish,RV,es,0.17980708119177385
get,have,person_1548,conseguir,tener,Spanish,RV,es,0.46326255603942595
wanted,wished,person_551,quería,deseaba,Spanish,RV,es,0.6260405894084751
concerns,doubts,person_551,preocupaciones,dudas,Spanish,RN,es,0.5464037325031679
trip,travel,person_551,viaje,viaje,Spanish,RN,es,0.4148212561435649
good,complete,person_551,buena,completa,Spanish,RJ,es,0.13786062245960032
choice,selection,person_551,elección,selección,Spanish,RN,es,0.3654702680437992
made,done,person_551,hecho,hecho,Spanish,RV,es,0.2661939435558714
answer,clear,person_1944,contestar,despejar,Spanish,RV,es,0.25620810018738854
questions,doubts,person_1944,preguntas,dudas,Spanish,RN,es,0.3964194361300283
used,use,person_1944,utilizado,utilizar,Spanish,RV,es,0.4659320581648232
new,original,person_1944,nuevo,original,Spanish,RJ,es,0.28013830379773874
surfing,surf,person_1944,surf,surf,Spanish,RN,es,0.6966891104569267
make,do,person_1944,hacer,hacer,Spanish,RV,es,0.3857835826030168
sale,discount,person_1944,venta,descuento,Spanish,RN,es,0.29799241575505686
time,date,person_395,tiempo,fecha,Spanish,RN,es,0.26378020622931003
tell,ask,person_395,dile,preguntar,Spanish,RV,es,0.551003736828472
tell,said,person_395,dile,dijo,Spanish,RV,es,0.26321186831904164
go,practice,person_395,ir,practicar,Spanish,RV,es,0.0934488551465805
would,am,person_395,haría,soy,Spanish,RV,es,0.2268250511008853
questions,doubt,person_395,preguntas,duda,Spanish,RN,es,0.24416423710660026
jewellery,jewels,person_395,joyería,joyas,Spanish,RN,es,0.4871687130444272
last,past,person_381,última,últimos,Spanish,RJ,es,0.5058165872117845
do,make,person_381,hacer,hacer,Spanish,RV,es,0.3857835826030168
clothing,clothes,person_381,ropa,ropa,Spanish,RN,es,0.6656106537465527
shape,form,person_381,forma,forma,Spanish,RN,es,0.3159566140165786
asked,told,person_381,preguntó,dije,Spanish,RV,es,0.5829959086942467
only,just,person_1175,sólo,sólo,Spanish,RY,es,0.523938030199832
do,train,person_1175,hacer,entrenarse,Spanish,RV,es,0.13400035530014462
clothing,cloth,person_1175,ropa,paño,Spanish,RN,es,0.3569665235096017
take,carry,person_1175,tomar,llevar,Spanish,RV,es,0.25408023925799084
annoying,annoyed,person_1175,molesto,molesto,Spanish,RJ,es,0.4932321547006254
say,express,person_2642,decir,expresar,Spanish,RV,es,0.21313637224346127
take,pass,person_2642,tomar,pasar,Spanish,RV,es,0.24546092031151828
back,column,person_2642,espalda,columna,Spanish,RN,es,0.10924236295647935
won't,don't,person_2642,no,no,Spanish,RV,es,0.8317591041420493
back,column,person_2642,espalda,columna,Spanish,RN,es,0.10924236295647935
follow,do,person_2642,seguir,hacer,Spanish,RV,es,0.270867664274491
continuing,cover,person_2642,continuar,cubrir,Spanish,RV,es,0.0835998025171783
bring,carry,person_2642,traer,llevar,Spanish,RV,es,0.27936974903371564
bringing,putting,person_2642,traer,poner,Spanish,RV,es,0.5314647389736784
stories,histories,person_2642,historias,historias,Spanish,RN,es,0.36832948308963137
do,are,person_2642,hacer,son,Spanish,RV,es,0.36271080990036275
shouldn't,won't,person_2642,debería,no,Spanish,RV,es,0.8424647008544544
glimpse,looking,person_2642,vistazo,mirando,Spanish,RN,es,0.2037256625294192
ruled,commanded,person_2642,gobernado,comandada,Spanish,RV,es,0.20842253890318443
competition,competence,person_1363,competencia,competencia,Spanish,RN,es,0.14987923653018603
go,do,person_1363,ir,hacer,Spanish,RV,es,0.539136677207568
think,find,person_2050,pensar,encontrar,Spanish,RV,es,0.35900111135184243
row,position,person_2050,fila,posición,Spanish,RN,es,0.19078879305619206
clothing,clothes,person_1565,ropa,ropa,Spanish,RN,es,0.6656106537465527
breaks,brakes,person_1565,roturas,frenos,Spanish,RN,es,0.1714146966950537
learn,know,person_2535,aprender,sabe,Spanish,RV,es,0.41403447946927796
choir,chorus,person_2535,coro,coro,Spanish,RN,es,0.46569724072391616
very,too,person_2535,muy,demasiado,Spanish,RY,es,0.5375393488205544
month,days,person_1996,mes,días,Spanish,RN,es,0.530523603710285
well,fine,person_1996,bien,fina,Spanish,RJ,es,0.3214957606208674
