c,i,id,l1_c,l1_i,language,type,code
volunteer,charity,person_2238,ボランティア,チャリティー,Japanese,RN,ja
hall,hole,person_2238,ホール,穴,Japanese,RN,ja
staff,stuffs,person_2238,スタッフ,詰め込む,Japanese,RN,ja
out,up,person_1095,アウト,アップ,Japanese,RY,ja
camp,stay,person_1452,キャンプ,滞在,Japanese,RV,ja
lessons,courses,person_1452,レッスン,コース,Japanese,RN,ja
hair,hare,person_1452,髪,ノウサギ,Japanese,RN,ja
greater,bigger,person_500,大きい,大きく,Japanese,RJ,ja
ask,need,person_1754,尋ねる,必要,Japanese,RV,ja
clothes,cloths,person_1754,服,布,Japanese,RN,ja
prepare,make,person_1754,準備,作る,Japanese,RV,ja
trip,travel,person_566,旅行,旅行,Japanese,RN,ja
staff,stuff,person_566,スタッフ,もの,Japanese,RN,ja
staff,stuff,person_566,スタッフ,もの,Japanese,RN,ja
dome,dorm,person_207,ドーム,寮,Japanese,RN,ja
greatest,strongest,person_221,最大,最強,Japanese,RJ,ja
on,up,person_1559,上,アップ,Japanese,RY,ja
gentle,tender,person_581,優しい,入札,Japanese,RJ,ja
sincerely,faithfully,person_1284,誠実,忠実,Japanese,RY,ja
something,anything,person_1284,もの,何でも,Japanese,RY,ja
Sincerely,Faithfully,person_1939,誠実,忠実,Japanese,RY,ja
glass,grass,person_1939,ガラス,草,Japanese,RN,ja
life,living,person_1939,人生,リビング,Japanese,RN,ja
glass,glasses,person_1939,ガラス,メガネ,Japanese,RN,ja
Also,Otherwise,person_1939,また,さもなければ,Japanese,RY,ja
very,too,person_1939,とても,すぎる,Japanese,RY,ja
organized,realized,person_2638,編成,実現,Japanese,RV,ja
held,realized,person_2638,開催,実現,Japanese,RV,ja
held,realized,person_2638,開催,実現,Japanese,RV,ja
do,put,person_2638,行う,置く,Japanese,RV,ja
time,moment,person_2638,時間,瞬間,Japanese,RN,ja
man,humanity,person_2638,男,人類,Japanese,RN,ja
discuss,think,person_271,話し合う,考える,Japanese,RV,ja
affect,effect,person_271,影響,効果,Japanese,RV,ja
does,is,person_216,は,は,Japanese,RV,ja
trip,travel,person_216,旅行,旅行,Japanese,RN,ja
older,elder,person_3139,古い,姉,Japanese,RJ,ja
nice,good,person_3176,ニース,良い,Japanese,RJ,ja
desert,dessert,person_3176,砂漠,デザート,Japanese,RN,ja
kinds,kids,person_3176,種類,子供,Japanese,RN,ja
institutions,services,person_3176,機関,サービス,Japanese,RN,ja
So,Then,person_3039,ので,それから,Japanese,RY,ja
monuments,heritages,person_3039,モニュメント,遺産,Japanese,RN,ja
become,get,person_3039,なる,取得,Japanese,RV,ja
attractions,facilities,person_2968,見どころ,施設,Japanese,RN,ja
tallest,highest,person_2968,高い,最高,Japanese,RJ,ja
go,get,person_2968,行く,取得,Japanese,RV,ja
include,are,person_2985,含める,は,Japanese,RV,ja
meet,see,person_2985,満たす,見る,Japanese,RV,ja
get,gain,person_2985,取得,得る,Japanese,RV,ja
tall,higher,person_2985,背,高い,Japanese,RJ,ja
tallest,highest,person_2985,高い,最高,Japanese,RJ,ja
go,visit,person_2985,行く,訪問,Japanese,RV,ja
view,scene,person_2985,ビュー,シーン,Japanese,RN,ja
go,visit,person_2985,行く,訪問,Japanese,RV,ja
Also,Instead,person_3247,また,代り,Japanese,RY,ja
going,visiting,person_3247,つもり,訪問,Japanese,RV,ja
ways,choices,person_3152,方法,選択肢,Japanese,RN,ja
said,announce,person_578,dijo,anunciar,Spanish,RV,es
come,go,person_506,venir,ir,Spanish,RV,es
grateful,thankful,person_506,agradecido,agradecido,Spanish,RJ,es
suit,fit,person_506,adaptarse,caber,Spanish,RV,es
show,perform,person_514,mostrar,realizar,Spanish,RV,es
schoolmates,mates,person_514,compañeros,compañeros,Spanish,RN,es
round,about,person_514,redondo,sobre,Spanish,RY,es
time,moments,person_266,tiempo,momentos,Spanish,RN,es
had,passed,person_266,tenía,pasado,Spanish,RV,es
bought,paid,person_266,compró,pagado,Spanish,RV,es
booking,make,person_266,reservar,hacer,Spanish,RV,es
attended,concurred,person_266,asistieron,coincidió,Spanish,RV,es
am,have,person_266,soy,tener,Spanish,RV,es
don't,wouldn't,person_266,no,no,Spanish,RV,es
do,make,person_266,hacer,hacer,Spanish,RV,es
attend,assist,person_211,asistir,asistir,Spanish,RV,es
save,win,person_211,salvar,ganar,Spanish,RV,es
deceive,cheat,person_211,engañar,engañar,Spanish,RV,es
invite,call,person_211,invitar,llamar,Spanish,RV,es
Sincerely,Faithfully,person_211,sinceramente,fielmente,Spanish,RY,es
just,only,person_211,sólo,sólo,Spanish,RY,es
beforehand,previously,person_211,antemano,previamente,Spanish,RY,es
showing,presenting,person_397,mostrando,presentando,Spanish,RV,es
feeling,felling,person_397,sintiendo,tala,Spanish,RV,es
resolve,solve,person_397,resolver,resolver,Spanish,RV,es
also,too,person_803,también,demasiado,Spanish,RY,es
give,do,person_803,dar,hacer,Spanish,RV,es
continue,increase,person_803,continuar,aumentar,Spanish,RV,es
appear,play,person_2297,aparecen,jugar,Spanish,RV,es
allows,permits,person_2297,permite,permite,Spanish,RV,es
allow,permit,person_2297,permite,permitir,Spanish,RV,es
creates,gives,person_2297,crea,da,Spanish,RV,es
serve,sell,person_1952,servir,vender,Spanish,RV,es
where,when,person_1952,donde,cuando,Spanish,RY,es
place,pace,person_1238,lugar,ritmo,Spanish,RN,es
aspect,thing,person_1238,aspecto,cosa,Spanish,RN,es
consequences,things,person_1238,consecuencias,cosas,Spanish,RN,es
give,make,person_2731,dar,hacer,Spanish,RV,es
go,arrived,person_2731,ir,llegó,Spanish,RV,es
had,spend,person_2731,tenía,pasar,Spanish,RV,es
understanding,comprehension,person_2731,comprensión,comprensión,Spanish,RN,es
returned,arrived,person_2731,devuelto,llegó,Spanish,RV,es
audience,visitors,person_1628,audiencia,visitantes,Spanish,RN,es
full,plenty,person_1628,completo,abundancia,Spanish,RJ,es
poor,bad,person_2321,pobre,malo,Spanish,RJ,es
went,want,person_2321,fue,quiero,Spanish,RV,es
Waiting,Looking,person_2321,esperando,mirando,Spanish,RV,es
not,no,person_2321,no,ningún,Spanish,RY,es
salesmen,sellers,person_2321,vendedores,vendedores,Spanish,RN,es
have,is,person_433,tener,es,Spanish,RV,es
above,before,person_433,arriba,antes,Spanish,RY,es
able,available,person_433,capaz,disponible,Spanish,RJ,es
sitting,seating,person_433,sentado,asientos,Spanish,RV,es
had,did,person_433,tenía,hizo,Spanish,RV,es
had,gave,person_433,tenía,dio,Spanish,RV,es
PLACE,PART,person_425,lugar,parte,Spanish,RN,es
MUSICAL,PLAY,person_425,musical,juego,Spanish,RN,es
HAVE,SPEND,person_425,tener,pasar,Spanish,RV,es
NOT,NO,person_425,no,ningún,Spanish,RY,es
ATTACH,GIVE,person_425,adjuntar,dar,Spanish,RV,es
were,lasted,person_1164,fueron,duró,Spanish,RV,es
satisfy,supply,person_1164,satisfacer,suministrar,Spanish,RV,es
colder,cooler,person_1164,frío,fresco,Spanish,RJ,es
stressful,workable,person_1164,estresante,realizable,Spanish,RJ,es
fall,get,person_1164,caerse,conseguir,Spanish,RV,es
becoming,being,person_1164,volviendo,ser,Spanish,RV,es
chance,possibility,person_1164,oportunidad,posibilidad,Spanish,RN,es
was,has,person_155,fue,ha,Spanish,RV,es
Also,Besides,person_155,también,además,Spanish,RY,es
had,spent,person_155,tenía,gastado,Spanish,RV,es
arranging,preparing,person_155,arreglo,preparando,Spanish,RV,es
STATES,APPEARS,person_1011,declara,aparece,Spanish,RV,es
REALLY,HEAVILY,person_1011,realmente,pesadamente,Spanish,RY,es
HADN'T,DIDN'T,person_1011,hubiera,no,Spanish,RV,es
HAD,GOT,person_1011,tenía,tiene,Spanish,RV,es
ADVANCES,MODERNIZES,person_1011,avances,moderniza,Spanish,RV,es
DOING,MAKING,person_1011,haciendo,hacer,Spanish,RV,es
playing,listening,person_2295,jugando,escuchar,Spanish,RV,es
definitely,definitively,person_2295,definitivamente,definitivamente,Spanish,RY,es
refurbishment,renewal,person_2295,remodelación,renovación,Spanish,RN,es
advertisement,advertising,person_2295,anuncio,publicidad,Spanish,RN,es
give,make,person_2295,dar,hacer,Spanish,RV,es
audience,public,person_2295,audiencia,público,Spanish,RN,es
type,model,person_2295,tipo,modelo,Spanish,RN,es
average,common,person_1575,promedio,común,Spanish,RJ,es
actual,formal,person_1575,real,formal,Spanish,RJ,es
using,discus,person_1575,usando,disco,Spanish,RV,es
get,have,person_1429,conseguir,tener,Spanish,RV,es
supposed,announced,person_1429,supone,anunció,Spanish,RV,es
have,spend,person_1429,tener,pasar,Spanish,RV,es
advertised,announce,person_1429,anunciado,anunciar,Spanish,RV,es
do,make,person_1429,hacer,hacer,Spanish,RV,es
asked,said,person_140,preguntó,dijo,Spanish,RV,es
irritable,nervous,person_140,irritable,nervioso,Spanish,RJ,es
doing,making,person_140,haciendo,hacer,Spanish,RV,es
aspect,point,person_140,aspecto,punto,Spanish,RN,es
had,reaching,person_140,tenía,alcanzar,Spanish,RV,es
losing,loosing,person_140,perder,perder,Spanish,RV,es
said,read,person_424,dijo,leer,Spanish,RV,es
performed,participated,person_424,realizado,participado,Spanish,RV,es
time,hour,person_424,tiempo,hora,Spanish,RN,es
alarm,timer,person_424,alarma,temporizador,Spanish,RN,es
get,stand,person_424,conseguir,pararse,Spanish,RV,es
arrive,reach,person_424,llegar,alcanzar,Spanish,RV,es
lose,loose,person_424,perder,suelto,Spanish,RV,es
had,found,person_2252,tenía,encontrado,Spanish,RV,es
go,get,person_2252,ir,conseguir,Spanish,RV,es
intention,purpose,person_2252,intención,propósito,Spanish,RN,es
have,take,person_2252,tener,tomar,Spanish,RV,es
on,in,person_2252,en,en,Spanish,RY,es
large,big,person_2252,grande,gran,Spanish,RJ,es
invention,advance,person_2252,invención,avanzan,Spanish,RN,es
producer,exhibitor,person_2723,productor,expositor,Spanish,RN,es
came,went,person_2723,vino,fue,Spanish,RV,es
published,announced,person_1809,publicado,anunció,Spanish,RV,es
main,strongest,person_1809,principal,fuerte,Spanish,RJ,es
only,just,person_1809,sólo,sólo,Spanish,RY,es
advance,improvement,person_1809,avanzan,mejora,Spanish,RN,es
give,made,person_2669,dar,hecho,Spanish,RV,es
get,have,person_2669,conseguir,tener,Spanish,RV,es
problem,question,person_2669,problema,pregunta,Spanish,RN,es
said,advised,person_2669,dijo,aconsejado,Spanish,RV,es
had,found,person_2669,tenía,encontrado,Spanish,RV,es
problems,faults,person_2669,problemas,fallas,Spanish,RN,es
cafe,coffee,person_2669,cafe,café,Spanish,RN,es
WENT,WERE,person_2720,fue,fueron,Spanish,RV,es
WRONG,FALSE,person_2720,equivocado,falso,Spanish,RJ,es
CLOSED,CLOSE,person_2720,cerrado,cerca,Spanish,RJ,es
RESULTS,QUALIFICATIONS,person_2720,resultados,calificaciones,Spanish,RN,es
didn't,couldn't,person_1448,no,podía,Spanish,RV,es
mess,troubles,person_1448,lío,apuros,Spanish,RN,es
made,did,person_1448,hecho,hizo,Spanish,RV,es
would,could,person_1448,haría,podría,Spanish,RV,es
had,should,person_1448,tenía,debería,Spanish,RV,es
event,fact,person_2223,evento,hecho,Spanish,RN,es
valid,available,person_2223,válido,disponible,Spanish,RJ,es
take,invite,person_2223,tomar,invitar,Spanish,RV,es
published,gave,person_2424,publicado,dio,Spanish,RV,es
done,made,person_2424,hecho,hecho,Spanish,RV,es
instance,case,person_2424,instancia,caso,Spanish,RN,es
minute,moment,person_2424,minuto,momento,Spanish,RN,es
projects,works,person_2424,proyectos,obras,Spanish,RN,es
access,facility,person_2424,acceso,instalación,Spanish,RN,es
stated,noticed,person_1933,declaró,notado,Spanish,RV,es
Now,Nowadays,person_1933,ahora,actualmente,Spanish,RY,es
extras,facilities,person_719,extras,instalaciones,Spanish,RN,es
offering,giving,person_719,ofreciendo,dando,Spanish,RV,es
type,category,person_719,tipo,categoría,Spanish,RN,es
complain,comply,person_719,quejarse,cumplir,Spanish,RV,es
do,make,person_719,hacer,hacer,Spanish,RV,es
up,at,person_719,arriba,en,Spanish,RY,es
meant,made,person_719,significaba,hecho,Spanish,RV,es
creates,brings,person_2143,crea,trae,Spanish,RV,es
getting,going,person_2143,recibiendo,va,Spanish,RV,es
just,only,person_2143,sólo,sólo,Spanish,RY,es
be,have,person_65,ser,tener,Spanish,RV,es
publish,present,person_65,publicar,presentar,Spanish,RV,es
do,make,person_65,hacer,hacer,Spanish,RV,es
ways,aspects,person_65,maneras,aspectos,Spanish,RN,es
do,make,person_65,hacer,hacer,Spanish,RV,es
to,around,person_127,a,alrededor,Spanish,RY,es
irritable,nervous,person_2609,irritable,nervioso,Spanish,RJ,es
find,fine,person_2609,encontrar,fina,Spanish,RV,es
characteristics,features,person_2609,características,características,Spanish,RN,es
supposed,said,person_2609,supone,dijo,Spanish,RV,es
accept,approve,person_2609,aceptar,aprobar,Spanish,RV,es
angry,hungry,person_2609,enojado,hambre,Spanish,RJ,es
harshly,hard,person_2609,duramente,mucho,Spanish,RY,es
harshly,hardly,person_2609,duramente,apenas,Spanish,RY,es
appliances,machines,person_1472,electrodomésticos,máquinas,Spanish,RN,es
created,done,person_1472,creado,hecho,Spanish,RV,es
going,getting,person_2755,va,recibiendo,Spanish,RV,es
scheduled,planned,person_2755,programado,planeado,Spanish,RV,es
let,make,person_2580,dejar,hacer,Spanish,RV,es
give,make,person_2580,dar,hacer,Spanish,RV,es
would,could,person_2580,haría,podría,Spanish,RV,es
call,make,person_2580,llamar,hacer,Spanish,RV,es
ruined,ended,person_2580,arruinado,terminó,Spanish,RV,es
made,put,person_8,hecho,poner,Spanish,RV,es
annoyed,nervous,person_8,molesto,nervioso,Spanish,RJ,es
hadn't,wasn't,person_8,hubiera,no,Spanish,RV,es
said,told,person_8,dijo,dije,Spanish,RV,es
purpose,point,person_2032,propósito,punto,Spanish,RN,es
fail,miss,person_2032,fallar,perder,Spanish,RV,es
giving,saying,person_2032,dando,diciendo,Spanish,RV,es
relationship,relation,person_2032,relación,relación,Spanish,RN,es
do,be,person_2032,hacer,ser,Spanish,RV,es
audience,spectators,person_2391,audiencia,espectadores,Spanish,RN,es
wish,think,person_1459,gustaría,pensar,Spanish,RV,es
get,have,person_1459,conseguir,tener,Spanish,RV,es
kiosk,cabin,person_1459,quiosco,cabina,Spanish,RN,es
talk,tell,person_1459,hablar,dile,Spanish,RV,es
visit,arrangement,person_1707,visita,arreglo,Spanish,RN,es
stage,scene,person_1707,etapa,escena,Spanish,RN,es
cure,face,person_1707,curarlo,enfrentar,Spanish,RV,es
tears,teas,person_1707,lágrimas,tés,Spanish,RN,es
see,appreciate,person_1707,ver,apreciar,Spanish,RV,es
refused,denied,person_1707,negado,negó,Spanish,RV,es
gave,made,person_1048,dio,hecho,Spanish,RV,es
seat,place,person_1048,asiento,lugar,Spanish,RN,es
taken,used,person_1048,tomado,utilizado,Spanish,RV,es
seat,place,person_1048,asiento,lugar,Spanish,RN,es
discovered,find,person_1048,descubierto,encontrar,Spanish,RV,es
climbed,went,person_1048,subió,fue,Spanish,RV,es
describe,explain,person_1841,describir,explicar,Spanish,RV,es
didn't,hadn't,person_1841,no,hubiera,Spanish,RV,es
bad,wrong,person_1841,malo,equivocado,Spanish,RJ,es
supposed,expected,person_1699,supone,espera,Spanish,RV,es
somewhere,anywhere,person_1699,algo,dondequiera,Spanish,RY,es
wouldn't,didn't,person_56,no,no,Spanish,RV,es
throw,give,person_56,tirar,dar,Spanish,RV,es
delicious,delightful,person_56,delicioso,encantador,Spanish,RJ,es
entitled,titled,person_869,titulado,titulado,Spanish,RJ,es
cooking,cook,person_2203,cocina,cocinero,Spanish,RN,es
nearly,hardly,person_2203,casi,apenas,Spanish,RY,es
Nearly,Mostly,person_2203,casi,mayormente,Spanish,RY,es
see,watch,person_2203,ver,ver,Spanish,RV,es
took,was,person_2773,tomó,fue,Spanish,RV,es
yesterday,last,person_2773,ayer,última,Spanish,RJ,es
price,prize,person_2773,precio,premio,Spanish,RN,es
affordable,available,person_2773,asequible,disponible,Spanish,RJ,es
compensation,reward,person_1091,compensación,recompensa,Spanish,RN,es
likely,lively,person_1091,probable,animado,Spanish,RJ,es
was,got,person_2200,fue,tiene,Spanish,RV,es
closed,close,person_2200,cerrado,cerca,Spanish,RJ,es
eventually,finally,person_2200,eventualmente,finalmente,Spanish,RY,es
advertised,announced,person_880,anunciado,anunció,Spanish,RV,es
refund,return,person_880,reembolso,retorno,Spanish,RN,es
put,take,person_880,poner,tomar,Spanish,RV,es
when,while,person_1899,cuando,mientras,Spanish,RY,es
understanding,comprehensive,person_1899,comprensiva,comprensivo,Spanish,RJ,es
come,go,person_1899,venir,ir,Spanish,RV,es
surprising,rare,person_1899,sorprendente,raro,Spanish,RJ,es
bad,wrong,person_1899,malo,equivocado,Spanish,RJ,es
immediately,rapidly,person_1899,inmediatamente,rápidamente,Spanish,RY,es
ending,final,person_1899,final,definitiva,Spanish,RN,es
imagination,fantasy,person_1899,imaginación,fantasía,Spanish,RN,es
FULL,COMPLETE,person_2402,completo,completa,Spanish,RJ,es
occurred,had,person_2600,ocurrió,tenía,Spanish,RV,es
advertised,published,person_2600,anunciado,publicado,Spanish,RV,es
get,gave,person_2600,conseguir,dio,Spanish,RV,es
account,description,person_2600,cuenta,descripción,Spanish,RN,es
resolved,solved,person_2600,resuelto,solucionado,Spanish,RV,es
problem,trouble,person_2600,problema,problemas,Spanish,RN,es
STAR,PROTAGONIST,person_2748,estrella,protagonista,Spanish,RN,es
RACE,BEING,person_2748,raza,ser,Spanish,RN,es
ENGINE,MACHINE,person_2748,motor,máquina,Spanish,RN,es
DO,TAKE,person_2748,hacer,tomar,Spanish,RV,es
was,came,person_1081,fue,vino,Spanish,RV,es
meant,involved,person_1081,significaba,involucrado,Spanish,RV,es
thing,point,person_1081,cosa,punto,Spanish,RN,es
decided,determined,person_1081,decidido,determinado,Spanish,RV,es
tell,say,person_86,dile,decir,Spanish,RV,es
replaced,changed,person_86,substituido,cambiado,Spanish,RV,es
repairs,reparations,person_86,reparaciones,reparaciones,Spanish,RN,es
told,answered,person_86,dije,respondió,Spanish,RV,es
get,have,person_1134,conseguir,tener,Spanish,RV,es
states,puts,person_1134,declara,pone,Spanish,RV,es
was,got,person_1134,fue,tiene,Spanish,RV,es
asked,told,person_1134,preguntó,dije,Spanish,RV,es
had,did,person_1134,tenía,hizo,Spanish,RV,es
performed,presented,person_878,realizado,presentó,Spanish,RV,es
described,mentioned,person_878,descrito,mencionado,Spanish,RV,es
keeps,makes,person_878,mantiene,hace,Spanish,RV,es
liked,appreciated,person_688,gustó,apreciado,Spanish,RV,es
replaced,changed,person_688,substituido,cambiado,Spanish,RV,es
replacement,change,person_688,recambio,cambio,Spanish,RN,es
get,have,person_688,conseguir,tener,Spanish,RV,es
explanation,answer,person_688,explicación,respuesta,Spanish,RN,es
not,no,person_688,no,ningún,Spanish,RY,es
far,long,person_688,lejos,tiempo,Spanish,RY,es
spend,stay,person_688,pasar,quedarse,Spanish,RV,es
various,different,person_2763,varios,diferentes,Spanish,RJ,es
things,points,person_2763,cosas,puntos,Spanish,RN,es
disappointed,disappointing,person_2763,decepcionado,decepcionante,Spanish,RJ,es
went,was,person_2763,fue,fue,Spanish,RV,es
really,absolutely,person_2763,realmente,absolutamente,Spanish,RY,es
tell,say,person_2763,dile,decir,Spanish,RV,es
written,made,person_2763,escrito,hecho,Spanish,RV,es
amusing,amused,person_2763,divertido,divertida,Spanish,RJ,es
see,check,person_2763,ver,comprobar,Spanish,RV,es
subject,point,person_2763,sujeto,punto,Spanish,RN,es
embarrassing,embarrassed,person_2671,embarazoso,avergonzado,Spanish,RJ,es
invited,offered,person_2671,invitado,ofrecido,Spanish,RV,es
had,could,person_2671,tenía,podría,Spanish,RV,es
was,had,person_2671,fue,tenía,Spanish,RV,es
get,make,person_2671,conseguir,hacer,Spanish,RV,es
fell,felt,person_2671,cayó,sentía,Spanish,RV,es
had,did,person_2671,tenía,hizo,Spanish,RV,es
time,moment,person_1224,tiempo,momento,Spanish,RN,es
replace,change,person_1224,reemplazar,cambiar,Spanish,RV,es
position,case,person_1224,posición,caso,Spanish,RN,es
audience,people,person_1224,audiencia,gente,Spanish,RN,es
lawyer,layer,person_1224,abogado,capa,Spanish,RN,es
lover,love,person_1224,amante,amor,Spanish,RN,es
spent,passed,person_1224,gastado,pasado,Spanish,RV,es
told,said,person_1224,dije,dijo,Spanish,RV,es
denied,refused,person_1224,negó,negado,Spanish,RV,es
open,available,person_2261,abierto,disponible,Spanish,RJ,es
interest,attention,person_2261,interés,atención,Spanish,RN,es
untrue,wrong,person_758,falso,equivocado,Spanish,RJ,es
imprison,close,person_758,encarcelar,cerrar,Spanish,RV,es
away,far,person_758,lejos,lejos,Spanish,RY,es
mind,opinion,person_758,mente,opinión,Spanish,RN,es
consciousness,conscience,person_758,conciencia,conciencia,Spanish,RN,es
let,left,person_758,dejar,dejó,Spanish,RV,es
do,make,person_1386,hacer,hacer,Spanish,RV,es
price,prize,person_160,precio,premio,Spanish,RN,es
disappointed,disappointing,person_2075,decepcionado,decepcionante,Spanish,RJ,es
were,do,person_2075,fueron,hacer,Spanish,RV,es
unpleasant,uncomfortable,person_2075,desagradable,incómodo,Spanish,RJ,es
Computers,Technology,person_2075,ordenadores,tecnología,Spanish,RN,es
help,lead,person_2075,ayudar,llevar,Spanish,RV,es
interested,interesting,person_2075,interesado,interesante,Spanish,RJ,es
time,hour,person_824,tiempo,hora,Spanish,RN,es
shows,is,person_824,muestra,es,Spanish,RV,es
does,was,person_824,hace,fue,Spanish,RV,es
Completely,Absolutely,person_824,completamente,absolutamente,Spanish,RY,es
told,said,person_1544,dije,dijo,Spanish,RV,es
fake,false,person_1544,falso,falso,Spanish,RJ,es
shows,is,person_1544,muestra,es,Spanish,RV,es
actor,act,person_1544,actor,acto,Spanish,RN,es
have,make,person_1544,tener,hacer,Spanish,RV,es
get,have,person_2299,conseguir,tener,Spanish,RV,es
had,was,person_2299,tenía,fue,Spanish,RV,es
open,do,person_2299,abrirse,hacer,Spanish,RV,es
refund,refuse,person_2299,reembolsar,niego,Spanish,RV,es
came,started,person_2299,vino,iniciado,Spanish,RV,es
had,spent,person_2299,tenía,gastado,Spanish,RV,es
go,come,person_2299,ir,venir,Spanish,RV,es
angry,nervous,person_2299,enojado,nervioso,Spanish,RJ,es
explain,show,person_762,explicar,mostrar,Spanish,RV,es
mistakes,faults,person_762,errores,fallas,Spanish,RN,es
walked,stepped,person_762,caminó,caminó,Spanish,RV,es
normal,common,person_762,normal,común,Spanish,RJ,es
was,took,person_762,fue,tomó,Spanish,RV,es
waste,lose,person_1627,desperdiciar,perder,Spanish,RV,es
tell,explain,person_1627,dile,explicar,Spanish,RV,es
fell,felt,person_1627,cayó,sentía,Spanish,RV,es
biting,eating,person_1627,morder,comer,Spanish,RV,es
won't,don't,person_1627,no,no,Spanish,RV,es
disappointing,disappointed,person_1194,decepcionante,decepcionado,Spanish,RJ,es
experienced,seen,person_1194,experimentado,visto,Spanish,RV,es
part,side,person_1194,parte,lado,Spanish,RN,es
yet,already,person_1194,todavía,ya,Spanish,RY,es
Considering,Seen,person_1194,considerando,visto,Spanish,RV,es
thing,way,person_1194,cosa,manera,Spanish,RN,es
thing,way,person_1194,cosa,manera,Spanish,RN,es
thing,way,person_1194,cosa,manera,Spanish,RN,es
maintain,have,person_1194,mantener,tener,Spanish,RV,es
dependence,independence,person_1194,dependencia,independencia,Spanish,RN,es
was,got,person_2674,fue,tiene,Spanish,RV,es
ago,before,person_2674,hace,antes,Spanish,RY,es
leave,get,person_2674,dejar,conseguir,Spanish,RV,es
Sir,Mr,person_2648,señor,sr.,Spanish,RN,es
showing,performing,person_2648,mostrando,escénicas,Spanish,RV,es
express,show,person_2264,expresar,mostrar,Spanish,RV,es
game,match,person_2264,juego,partido,Spanish,RN,es
tell,say,person_2264,dile,decir,Spanish,RV,es
hygiene,cleaning,person_1744,higiene,limpieza,Spanish,RN,es
need,used,person_1744,necesita,utilizado,Spanish,RV,es
do,find,person_1744,hacer,encontrar,Spanish,RV,es
talk,speak,person_2107,hablar,hablar,Spanish,RV,es
grateful,thankful,person_426,agradecido,agradecido,Spanish,RJ,es
lit,lightened,person_426,encendió,aligerado,Spanish,RV,es
notifying,noticing,person_1167,notificación,notar,Spanish,RV,es
camp,camping,person_1167,campamento,camping,Spanish,RN,es
buy,afford,person_1167,comprar,permitirse,Spanish,RV,es
go,move,person_1167,ir,mover,Spanish,RV,es
extremely,too,person_1167,extremadamente,demasiado,Spanish,RY,es
pressure,stress,person_2446,presión,estrés,Spanish,RN,es
have,be,person_2693,tener,ser,Spanish,RV,es
clothing,cloth,person_2693,ropa,paño,Spanish,RN,es
stars,starts,person_2693,estrellas,arranques,Spanish,RN,es
give,tell,person_2693,dar,dile,Spanish,RV,es
intense,good,person_1364,intenso,buena,Spanish,RJ,es
get,have,person_1364,conseguir,tener,Spanish,RV,es
ago,before,person_1364,hace,antes,Spanish,RY,es
might,would,person_1364,podría,haría,Spanish,RV,es
making,wining,person_974,hacer,vinificación,Spanish,RV,es
get,have,person_1548,conseguir,tener,Spanish,RV,es
wanted,wished,person_551,quería,deseaba,Spanish,RV,es
concerns,doubts,person_551,preocupaciones,dudas,Spanish,RN,es
trip,travel,person_551,viaje,viaje,Spanish,RN,es
good,complete,person_551,buena,completa,Spanish,RJ,es
choice,selection,person_551,elección,selección,Spanish,RN,es
made,done,person_551,hecho,hecho,Spanish,RV,es
answer,clear,person_1944,contestar,despejar,Spanish,RV,es
questions,doubts,person_1944,preguntas,dudas,Spanish,RN,es
used,use,person_1944,utilizado,utilizar,Spanish,RV,es
new,original,person_1944,nuevo,original,Spanish,RJ,es
surfing,surf,person_1944,surf,surf,Spanish,RN,es
make,do,person_1944,hacer,hacer,Spanish,RV,es
sale,discount,person_1944,venta,descuento,Spanish,RN,es
time,date,person_395,tiempo,fecha,Spanish,RN,es
tell,ask,person_395,dile,preguntar,Spanish,RV,es
tell,said,person_395,dile,dijo,Spanish,RV,es
go,practice,person_395,ir,practicar,Spanish,RV,es
would,am,person_395,haría,soy,Spanish,RV,es
questions,doubt,person_395,preguntas,duda,Spanish,RN,es
jewellery,jewels,person_395,joyería,joyas,Spanish,RN,es
last,past,person_381,última,últimos,Spanish,RJ,es
do,make,person_381,hacer,hacer,Spanish,RV,es
clothing,clothes,person_381,ropa,ropa,Spanish,RN,es
shape,form,person_381,forma,forma,Spanish,RN,es
asked,told,person_381,preguntó,dije,Spanish,RV,es
only,just,person_1175,sólo,sólo,Spanish,RY,es
do,train,person_1175,hacer,entrenarse,Spanish,RV,es
clothing,cloth,person_1175,ropa,paño,Spanish,RN,es
take,carry,person_1175,tomar,llevar,Spanish,RV,es
annoying,annoyed,person_1175,molesto,molesto,Spanish,RJ,es
SAY,EXPRESS,person_2642,decir,expresar,Spanish,RV,es
TAKE,PASS,person_2642,tomar,pasar,Spanish,RV,es
BACK,COLUMN,person_2642,espalda,columna,Spanish,RN,es
WON'T,DON'T,person_2642,no,no,Spanish,RV,es
BACK,COLUMN,person_2642,espalda,columna,Spanish,RN,es
FOLLOW,DO,person_2642,seguir,hacer,Spanish,RV,es
CONTINUING,COVER,person_2642,continuar,cubrir,Spanish,RV,es
BRING,CARRY,person_2642,traer,llevar,Spanish,RV,es
BRINGING,PUTTING,person_2642,traer,poner,Spanish,RV,es
STORIES,HISTORIES,person_2642,historias,historias,Spanish,RN,es
DO,ARE,person_2642,hacer,son,Spanish,RV,es
SHOULDN'T,WON'T,person_2642,debería,no,Spanish,RV,es
GLIMPSE,LOOKING,person_2642,vistazo,mirando,Spanish,RN,es
RULED,COMMANDED,person_2642,gobernado,comandada,Spanish,RV,es
