case_id,i_nn_1,i_nn_2,i_nn_3,i_nn_4,i_nn_5,i_nn_6,i_nn_7,i_nn_8,i_nn_9,i_nn_10,c_nn_1,c_nn_2,c_nn_3,c_nn_4,c_nn_5,c_nn_6,c_nn_7,c_nn_8,c_nn_9,c_nn_10,l1_i_nn_1,l1_i_nn_2,l1_i_nn_3,l1_i_nn_4,l1_i_nn_5,l1_i_nn_6,l1_i_nn_7,l1_i_nn_8,l1_i_nn_9,l1_i_nn_10,l1_c_nn_1,l1_c_nn_2,l1_c_nn_3,l1_c_nn_4,l1_c_nn_5,l1_c_nn_6,l1_c_nn_7,l1_c_nn_8,l1_c_nn_9,l1_c_nn_10
case_1398,extremely,quite,VERY,incredibly,extrememly,extemely,fairly,EXTREMELY,extraordinarily,pretty,mcuh,MUCH,too,lot,more,far,less,muich,Much,considerably,extrêmement,assez,trés,extrèmement,étonnamment,relativement,tres,extrêment,particulièrement,trèèès,énormément,bcp,beacoup,énormement,beaucoups,peu,tellement,autant,enormément,aussi
case_1399,intersting,intriguing,fascinating,intruiging,insteresting,interestng,Interesting,intresting,amusing,interesting.This,insterested,intersted,intrested,interestd,interesed,Interested,intested,nterested,intereted,interested.If,interessant,intérressant,intéréssant,interressant,passionnant,instructif,Intéressant,surprenant,intéressant.Il,pertinent,interessé,intéressée,interressé,intéréssé,intéressés,intérressé,motivé,Intéressé,convaincu,étonné
case_1400,exausted,Exhausted,exhaused,exhuasted,tired,fatigued,exhausted.The,exhausting,bone-tired,EXHAUSTED,tiring,Exhausting,exausting,EXHAUSTING,exhaustingly,arduous,grueling,stressful,exhausted,tedious,fatiguée,épuisée,Exténuée,harassée,éreintée,crevée,exténué,exténuées,surmenée,Épuisée,fatigant,exténuant,éreintant,fatiguant,pénible,épuisante,harassant,épuise,épuisants,épuisantes
case_1401,devotedly,diligently,conscientiously,dutifully,faithful,Faithfully,slavishly,assiduously,zealously,obediently,sincerly,sincerley,sincere,SINCERELY,fervently,hope,appreciate,earnestly,genuinely,heartfully,scrupuleusement,fidélement,Fidèlement,fidelement,servilement,parfaitement,admirablement,rigoureusement,fidèle,intégralement,sincérement,honnêtement,pense,personnellement,Sincèrement,crois,sincèrement.,sincerement,naïvement,persuadé
case_1402,soceity,societies,society.The,society.But,society.So,society.,society-,society.And,society.It,society.In,compnay,comapny,comany,company.It,companies,company.The,companys,compamy,corporation,company.Now,sociéte,societé,entreprise,société.La,Société,socièté,sociétée,socité,lasociété,filiale,sociéte,societé,entreprise,société.La,Société,socièté,sociétée,socité,lasociété,filiale
case_1403,watching,watched,wathc,watch.This,watch.I,watch.,Watch,watche,watch.If,watches,considering,Consider,reconsider,re-consider,suggest,deciding,consider.If,decide,might,consideration,regardant,Regarder,voir,re-regarder,visionner,reregarder,regarde,observer,contempler,regardé,admettre,Considérer,penser,considère,reconnaître,considérant,considèrer,affirmer,supposer,envisager
case_1404,décor,decore,decor.,dcor,decors,decór,decor-,decor.I,decor.This,décor.,back-drop,backdrops,backcloth,backdrop.,backdrop.The,back-drops,back-dropped,backdropped,Backdrop,background,décors,Décor,décor.,decor,décord,paysage,décoratif,decors,somptueux,mobilier,contextes,uncontexte,lecontexte,contexte-là,cadre,contexte-ci,contexe,contexte.,Contexte,resituant
case_1405,secondly,Firstly,thirdly,Secondly,fourthly,Thirdly,.Firstly,foremostly,lastly,Fourthly,second,fourth,third,last,fifth,sixth,next,firt,fisrt,second-to-last,Premièrement,deuxièmement,premierement,secondement,deuxièment,Deuxièmement,abord,donc,troisièmement,premiérement,emblée,ailleurs,ensuite,autant,donc,simplement,tout,premièrement,aussi,surtout
case_1406,rubber,Rubbers,elastomers,non-rubber,rubber.,lubricants,rubber-based,rubbe,polyisoprene,elastomer,robber,thieves,bandits,robbery,robberies,muggers,Robbers,burglars,highwaymen,theives,Caoutchoucs,élastomères,caoutchouc,caoutchoux,caoutchoutés,polymères,caoutchouc.,plastiques,amortisseurs,adhésifs,voleur,bandits,cambrioleurs,malfrats,pilleurs,escrocs,Voleurs,receleurs,voyous,brigands
case_1407,occassion,ocassion,occasions,occasion.The,occation,occasion.This,occasion.,occassions,occasion.It,ocassions,opporunity,oppportunity,opportuntiy,oppurtunity,opportunitiy,oppotunity,opporutnity,opportunities,opportunty,opprtunity,circonstances,atténuante,aggravante,circonstance.,pareille,raison,circonstancielle,conséquence,Circonstance,opportune,occassion,ocasion,opportunité,occasionde,ocassion,occcasion,occasion.,occasions,occasion.A,occasion-là
case_1408,tastes,taste.It,tast,taste.This,taste.But,tatse,taste.So,taste.The,taste.I,flavor,preference,preferences.The,prefernces,predilections,preferences.,preferances,likings,preferences.I,preferences.If,prefrences,gout,gôut,goût.Le,goût.Un,goût.Et,goût.,goût.A,goùt,goût.C',goût.-,préferences,aversions,preferences,préférences.,goûts,habitudes,Préférences,préfèrences,particularités,attirances
case_1409,costumers,customer,Costumer,cutomer,custumer,costomer,cusomer,seamstress,Costumers,perfessional,Customers,non-customers,customer,cutomers,customers.So,customers.They,customers.As,customers.But,customers.When,clients,costumière,costumiers,Costumier,costumières,décorateur,scénographe,maquilleur,couturier,habilleur,styliste,Clients,client,clientes,desclients,collaborateurs,clients.,acheteurs,consommateurs,non-clients,prospects
case_1410,offers,provide,gives,Provides,providing,allows,affords,utilizes,facilitates,incorporates,give,provides,allows,makes,brings,puts,giving,Gives,lends,offers,fournira,fournissant,fournissent,fournir,fournissait,fourni,apporte,fournirait,Fournit,fournisse,donnera,donnent,donnant,donner,redonne,donnerait,apporte,donnait,donné,donnes
case_1412,loooking,lookng,looing,lloking,Looking,lookign,loking,lookig,searching,lookiing,waitng,waited,wating,awaiting,wait,anxiously,impatiently,not-so-patiently,waiting.I,paitently,recherce,recheche,recherches,recherche.Une,recherche.,recherhce,Recherche,recherche.L,rechercher,derecherche,attente.,Attente,atente,interminable,expectative,attente.Le,attente.Je,impatience,attendant,attente-
case_1339,choices,choice.The,choice.This,choose,choice.But,choosing,choice.So,choice.And,choice.Now,choice.It,decisons,decsions,decision,descisions,Decisions,desicions,decisions.So,non-decisions,decisions.And,decisions-,chois,choix.Ce,Choix,choix.Un,choisir,choix.,choix.De,choixet,choix.Il,choix.L,decisions,Décisions,décision,non-décisions,décisons,desdécisions,lesdécisions,micro-décisions,délibérations,décisions-cadres
case_1338,course.This,course.Of,course.It,course.The,course.So,couse,course.In,coure,too.Of,course.But,lessons,lesson.The,lesson.I,lesson.It,lesson.This,lesson-,Lesson,lesson.,lessson,lesso,évidemment,évidement,bien-sûr,bien,entendu,peut-être,certainement,quand-même,forcément,évident,leçons,lecon,leçon.,Leçon,leçons.,séquence,lecons,apprise,démonstration,magistrale
case_1337,course.This,course.Of,course.It,course.The,course.So,couse,course.In,coure,too.Of,course.But,lessons,lesson.The,lesson.I,lesson.It,lesson.This,lesson-,Lesson,lesson.,lessson,lesso,évidemment,évidement,bien-sûr,bien,entendu,peut-être,certainement,quand-même,forcément,évident,leçons,lecon,leçon.,Leçon,leçons.,séquence,lecons,apprise,démonstration,magistrale
case_1265,solutions,solution.This,solution.The,soution,solution.It,solution.,solution.So,solution.If,solution.In,solution.But,options,option.The,option.This,option.,option.You,option.But,option.It,choice,option-,option.If,solutions,alternative,Solution,solution.La,solution.,solution-miracle,méthode,solution.Mais,solutionne,solutionnée,optionnelle,Option,options,option.,-option,alternative,possibilité,option.La,optionnel,opter
case_1266,indication,Indications,indicate,indicated,signs,contra-indications,indicators,evidences,indicating,indicative,directions.The,directions-,directions.,direction,directions.I,instructions,directons,directions.We,directionsThe,directions.If,explications,instructions,indication,informations,consignes,recommandations,Indications,précises,précisions,indiquées,Directions,direction,directions.,orientations,sous-directions,positions,sections,différentes,administrations,directivités
case_1267,transportable,semi-portable,Portable,protable,handheld,easy-to-transport,hand-held,highly-portable,ultra-portable,super-portable,moblie,non-mobile,mobile-based,mobile-,mobiles,amobile,smartphone,Mobile,smart-phone,mobile-enabled,téléphone,portable.,portables,protable,ordinateur,smartphone,laptop,mini-portable,portabl,ultra-portable,mobile.,mobiles,smartphone,Mobile,mobileL,mobile.Il,téléphonie,mobile-,mobile9,portable
case_1268,getting,got,want,gets,gotten,need,give,can,try,take,do,Go,to,going,'d,'t,be,on.Go,let,ahaed,obtention,obtienne,obtenant,fournir,réobtenir,donner,acquérir,exiger,obtenu,optenir,emmener,chercher,alller,venir,amener,irais,allé,irai,retourner,rentrer
case_1269,transportable,semi-portable,Portable,protable,handheld,easy-to-transport,hand-held,highly-portable,ultra-portable,super-portable,moblie,non-mobile,mobile-based,mobile-,mobiles,amobile,smartphone,Mobile,smart-phone,mobile-enabled,téléphone,portable.,portables,protable,ordinateur,smartphone,laptop,mini-portable,portabl,ultra-portable,mobile.,mobiles,smartphone,Mobile,mobileL,mobile.Il,téléphonie,mobile-,mobile9,portable
case_1270,transportable,semi-portable,Portable,protable,handheld,easy-to-transport,hand-held,highly-portable,ultra-portable,super-portable,moblie,non-mobile,mobile-based,mobile-,mobiles,amobile,smartphone,Mobile,smart-phone,mobile-enabled,téléphone,portable.,portables,protable,ordinateur,smartphone,laptop,mini-portable,portabl,ultra-portable,mobile.,mobiles,smartphone,Mobile,mobileL,mobile.Il,téléphonie,mobile-,mobile9,portable
case_1271,transportable,semi-portable,Portable,protable,handheld,easy-to-transport,hand-held,highly-portable,ultra-portable,super-portable,moblie,non-mobile,mobile-based,mobile-,mobiles,amobile,smartphone,Mobile,smart-phone,mobile-enabled,téléphone,portable.,portables,protable,ordinateur,smartphone,laptop,mini-portable,portabl,ultra-portable,mobile.,mobiles,smartphone,Mobile,mobileL,mobile.Il,téléphonie,mobile-,mobile9,portable
case_1272,taking,takes,took,Take,taken,Taking,give,get,tkae,put,getting,got,want,gets,gotten,need,give,can,try,take,pris,prenant,prenne,Prendre,prend,prennent,reprendre,prends,prenez,prendres,obtention,obtienne,obtenant,fournir,réobtenir,donner,acquérir,exiger,obtenu,optenir
case_1273,transportable,semi-portable,Portable,protable,handheld,easy-to-transport,hand-held,highly-portable,ultra-portable,super-portable,moblie,non-mobile,mobile-based,mobile-,mobiles,amobile,smartphone,Mobile,smart-phone,mobile-enabled,téléphone,portable.,portables,protable,ordinateur,smartphone,laptop,mini-portable,portabl,ultra-portable,mobile.,mobiles,smartphone,Mobile,mobileL,mobile.Il,téléphonie,mobile-,mobile9,portable
case_1274,transmits,re-transmit,transmitting,transmitted,transmitt,trasmit,Transmit,retransmit,demodulate,re-transmitting,gives,giving,gave,Give,provide,get,gve,want,take,ask,communiquer,transmettant,transmette,Transmettre,retransmettre,transmet,transmettent,diffuser,transmis,restituer,donne,redonner,apporter,fournir,donnera,donnent,donnez,donnant,prendre,donnerait
case_1275,petrol,gasoline.The,fuel,Gasoline,gasolene,unleaded,kerosene,gasolines,gasoline.,diesel,Oil,oil.This,oil.As,oil.The,oil.,oil-,oil.I,petroleum,oil.It,oil.But,Essence,essence.,gasoil,essences,carburant,lessence,gazoil,essence-même,SP95,essence.Le,huille,Huile,huiles,lhuile,huile.,-huile,olive,dhuile,ricin,huil
case_1276,deeper,deeeeeep,deeeeep,deeeep,deep-,Deep,deepest,deeep,semi-deep,super-deep,fantastic,terrific,wonderful,good,geat,excellent,amazing,tremendous,nice,awesome,Profonde,profond,profondeur,profonde.,profondes,réelle,brutale,douloureuse,superficielle,singulière,petit,immense,beau,seul,vrai,certain,gros,bon,énorme,premier
case_1277,evolutionary,evolution.The,evolutional,evolution.,evolution.This,Evolution,evolution.It,evolution-,re-evolution,evolutio,changes,changing,chnage,changed,chage,Change,cahnge,change-,changee,change--and,évolutions,Évolution,progression,évolution.,evolution,non-évolution,amélioration,évolution.La,évolutionde,émergence,Changement,changements,bouleversement,changer,non-changement,changement.,chagement,réajustement,changement.Le,changemen
case_1278,stricture,constrictions,dictums,impositions,norms,constraints,constrictive,proscriptions,conventionalities,conventionality,structure,stuctures,substructures,sub-structures,structures.The,constructions,Structures,structures.,edifices,buildings,Sténoses,sténose,résections,exérèses,angioplasties,occlusions,collagénoses,resténose,Sténose,dyspnées,structurations,stuctures,Structures,strutures,institutions,structure,micro-structures,desstructures,sous-structures,macrostructures
case_1279,isssues,problems,isues,issue,issuess,issuses,concerns,issues.This,issues-,issues.But,problem,issues,probems,difficulties,troubles,porblems,probles,problmes,problems.The,problems.So,interrogations,réponses,qestions,problématiques,intérrogations,quesions,questions.,quetions,questions-clés,questions-,soucis,problémes,problemes,problêmes,probèmes,problème,pbs,difficultés,ennuis,problèmes-là
case_1280,affecting,impacted,impacts,impact,affect,affects,effecting,influencing,affected,negatively,impacting,affect,affects,effecting,affected,impacted,Affecting,influencing,adversely,impacts,effectue,effectuer,effectuent,procédant,réalisant,Effectuant,effectuait,accomplissant,effectuera,effectuaient,affecte,affectent,affecter,affecteraient,affecterait,affectaient,affectait,altérant,affectera,Affectant
case_1281,done.So,done.But,done.Well,done.And,done.As,done.It,done-,doing,done.We,done.Now,make,making,made.So,mades,made.When,made.I,made.It,made.The,made.But,made.A,faisant,faisait,fais,font,faire,fasse,ferait,fera,remarquer,faite,faisant,faisait,fais,font,faire,fasse,ferait,fera,remarquer,faite
case_1282,transportable,semi-portable,Portable,protable,handheld,easy-to-transport,hand-held,highly-portable,ultra-portable,super-portable,moblie,non-mobile,mobile-based,mobile-,mobiles,amobile,smartphone,Mobile,smart-phone,mobile-enabled,téléphone,portable.,portables,protable,ordinateur,smartphone,laptop,mini-portable,portabl,ultra-portable,mobile.,mobiles,smartphone,Mobile,mobileL,mobile.Il,téléphonie,mobile-,mobile9,portable
case_1283,understand,explaining,expain,clarify,re-explain,expalin,elucidate,explanation,explains,explaing,decribe,descibe,describing,desribe,characterize,describes,discribe,descirbe,explain,describle,comprendre,expliquant,Expliquer,expliciter,décrire,expliquez,explique,démontrer,expliquent,montrer,caractériser,expliquer,Décrire,définir,résumer,qualifier,analyser,dépeindre,comprendre,décrir
case_1284,thankful,greatful,grateful.I,grateful.And,appreciative,thank,gratful,fortunate,grateful.The,glad,fantastic,terrific,wonderful,good,geat,excellent,amazing,tremendous,nice,awesome,reconnaissante,confiant,Reconnaissant,déclarant,considérant,reconnaisant,félicitant,affirmant,reconnaissants,reconnaissait,petit,immense,beau,seul,vrai,certain,gros,bon,énorme,premier
case_1285,not,one,Only,just,even,but,hardly,however,still,actually,really,actually,Just,simply,basically,jsut,probably,like,but,something,non,Seulement,pas,uniquement,mais,alors,moins,donc,juste,certes,Juste,simplement,justement,donc,tout,effectivement,surtout,vraiment,bien,jsute
case_1264,had,been,'ve,already,ahve,haved,haven,can,never,hve,paying,paid,pays,payed,pay.So,pay.As,pay.And,pay.If,-pay,pay.We,avaient,auraient,auront,aient,ayant,ont-ils,avaientt,auraient-il,été,ont-il,payé,paye,repayer,rembourser,payent,débourser,paient,facturer,payer.,payera
case_1286,faaaaaar,faaaar,faaaaar,farther,far.As,much,faaar,far.So,far.The,far.That,away.So,away.However,away.As,away.I,away.But,away.With,away.Also,away.Not,away.The,away.Now,loin.,loins,loin.Mais,loin.C',loin.Et,Loin,loin.On,loin.A,près,loind,loin.,loins,loin.Mais,loin.C',loin.Et,Loin,loin.On,loin.A,près,loind
case_1263,documentaries,docu-drama,docudrama,Documentary,mini-documentary,documentary-,documentary-style,documetary,documentary.The,doco,document,documents.The,Documents,documents.,documents.This,documents.It,documentations,documents.If,documents.I,e-documents,documentaires,docu,Documentaire,docu-fiction,film-documentaire,reportage,documentaire.,documentaire-fiction,mini-documentaire,film,desdocuments,lesdocuments,dossiers,textes,dedocuments,Documents,documents.,documents-types,ocuments,papiers
case_1261,prepare,well-prepared,Prepared,ready,pre-pared,preparing,prepared.,prepped,perpared,readied,serve,serving,seved,serves,servied,Served,servered,serverd,-served,appointed,préparée,concocté,préparés,élaboré,confectionné,preparé,présenté,préparées,servi,planifié,servit,servie,servis,servir,resservi,utilisé,préparé,sert,fourni,offert
case_1239,here.So,Here,here.But,here.Now,here.I,here.Well,here.As,here-,here.OK,here.That,There,there.There,it.There,that.There,now.There,tehre,theres,theere,too.There,not.There,ici.,ici.À,ici.Mais,ici.Et,ici.C,ici.Un,içi,ailleurs,ici.Oui,maintenant,Là,çà,Et,c',ça,où,Çà,là.C',là.De,là.Mais
case_1240,murders,murder.The,muder,homicide,murder.It,murder-,murderer,murde,murder.But,triple-murder,murderers,muderer,child-murderer,murderess,murder,rapist-murderer,child-killer,murdered,killer,rapist,assassinat,meurtres,homicide,crime,meutre,meurtre.,viol,meurtrier,kidnapping,double-meurtre,tueur,assassin,criminel,meurtre,meurtier,meurtriers,meutrier,sanglant,violeur,présumé
case_1241,here.So,Here,here.But,here.Now,here.I,here.Well,here.As,here-,here.OK,here.That,There,there.There,it.There,that.There,now.There,tehre,theres,theere,too.There,not.There,ici.,ici.À,ici.Mais,ici.Et,ici.C,ici.Un,içi,ailleurs,ici.Oui,maintenant,Là,çà,Et,c',ça,où,Çà,là.C',là.De,là.Mais
case_1242,make,making,made.So,mades,made.When,made.I,made.It,made.The,made.But,made.A,prepare,well-prepared,Prepared,ready,pre-pared,preparing,prepared.,prepped,perpared,readied,faisant,faisait,fais,font,faire,fasse,ferait,fera,remarquer,faite,préparée,concocté,préparés,élaboré,confectionné,preparé,présenté,préparées,servi,planifié
case_1243,ways,way.So,way.It,way.To,way.This,thing,way.By,way.Now,way.But,way--the,aspects,facet,apect,aspect.The,apsect,facets,aspect-,element,aspect.,apsects,manière,facon,maniére,chose,maniere,façons,manières,différente,toute,manière-là,aspects,apparence,attrait,aspecte,caractère,élément,impact,aspect-là,aspec,avantage
case_1244,leaving,leave.If,leave.I,left,let,leave.But,leaves,leave.You,leave.And,leave.They,allowing,enable,allows,allowed,alllow,enabling,enables,require,Allow,Allowing,laisse,laissant,laissez,laissser,laissé,laissent,rester,laisserait,laissera,laissiez,permettant,permet,permetttre,permettra,permette,permettrait,permettrent,permettent,amener,permetter
case_1245,phrase,words,word.The,word-,word.And,word.This,word.,word.It,word.If,word.I,news.But,news.The,news.This,news.,news.So,news.In,news.It,news.That,news.A,news.And,mot.Le,mots,Mot,nom,néologisme,vocabulaire,phrase,mot.,signifiant,mot-là,Nouvelles,bonnes,dernières,denouvelles,lesnouvelles,nouvellles,premières,certaines,nombreuses,novelles
case_1246,re-reading,rereading,readng,reading.I,read,Reading,reading.So,reading.Now,reading.And,reading.As,re-read,reread,reading,read.I,read.So,read.Now,read.But,write,read.As,read--I,lecture.,re-lecture,lecture.La,-lecture,relecture,écriture,non-lecture,lecture.Le,lectures,défi-lecture,relire,écrire,re-lire,lire.Et,voir,lire.J',feuilleter,-Lire,rerelire,lire.
case_1247,cuture,cutlure,culture.The,cultures,culutre,culture.It,culure,culture-,culture.,culture.What,educaiton,eduation,eduction,educations,education.This,educational,education.It,eduaction,eductation,education.But,laculture,Culture,civilisation,culturelle,culture.La,cultures,cutlure,multiculture,-culture,littérature,Éducation,éduction,education,Education,enseignement,éducative,pédagogie,éducation.,éducations,éducation-formation
case_1248,wonderful,gorgeous,beautiful,lovley,fabulous,delightful,wondeful,beautful,Lovely,nice,wondeful,fantastic,lovely,wonderul,fabulous,marvelous,amazing,delightful,terrific,great,ravissant,sympathique,charmand,charmant.,joli,adorable,Charmant,charmante,mignon,agréable,fabuleux,formidable,magnifique,merveileux,délicieux,fantastique,somptueux,beau,fascinant,splendide
case_1249,fame.The,notoriety,stardom,fame-,fame.I,fame.,super-stardom,infamy,renown,superstardom,carreers,careers.,career,careers.The,careers-,careers.I,careers.In,career.We,careeer,career-building,renomée,réputation,renom,notoriété,renommé,renommées,renommés,Renommée,renommée.,célébrité,carrière,carrieres,Carrières,carriéres,mines,reconversions,carriere,Bibémus,formations,Carrière
case_1250,photos,photgraphs,photograph,pictures,photograhs,photogrpahs,Photographs,images,photograps,photographic,photgraphers,photogs,photojournalists,photograhers,Photographers,photographer,photo-journalists,non-photographers,photograpers,photographers.,photos,Photographies,illustrations,photographiques,images,reproductions,microphotographies,gravures,aquarelles,planches-contacts,photojournalistes,photographe,photoreporters,reporters-photographes,Photographes,caméramans,cameramans,photo-reporters,reporters,vidéastes
case_1251,Thank,thanks,thankyou,Thank-you,thank-you,-Thank,thanking,-thank,Thanks,thnak,lke,llike,think,lilke,just,liek,really,feel,something,want,féliciter,remercie,saluer,remerçier,remerciez,remercier.,remerçions,Remercier,remercierais,remercies,adore,apprécie,aimais,adoooore,adooore,aimé,aimes,adooooore,préfère,déteste
case_1253,bit,litttle,liitle,litle,teensy,littly,wee,lilttle,teeny,tad,large,tiny,smallish,smalll,largish,smaller,small-ish,smal,not-so-small,medium-sized,assez,trop,plus,moins,beaucoup,relativement,suffisamment,chouïa,chouia,encore,ptit,Petit,grand,joli,pti,unpetit,peitit,beau,seul,-petit
case_1254,low,super-high,high-,not-so-high,high-ish,High,hgih,hign,very-high,highest,tallish,taller,tall-ish,tall.,tall.The,tall.I,tall-,Tall,stocky,TALL,basse,Haute,-haute,hautes,ultra-haute,grande,extra-haute,moyenne-haute,haute.La,haut,petit,immense,beau,seul,vrai,certain,gros,bon,énorme,premier
case_1255,lands,land.The,land.,land.This,land.It,land.When,land.He,land.If,land.But,land.In,country-side,countrysides,coutryside,countyside,countryside.The,countryside-,contryside,countryside.,countryside.This,countryside.A,Terre,terrre,terre.La,terre.,terrede,terre-,terreet,laterre,pomme,terre.A,Campagne,campagnes,campage,pré-campagne,campagne.La,précampagne,contre-campagne,campagne.Une,campagne.,campagne.Le
case_1256,unqiue,uniquely,distinctive,one-of-a-kind,Unique,uniqe,uniquie,unique.This,uniqueness,one-of-kind,not,one,Only,just,even,but,hardly,however,still,actually,Unique,exceptionnel,extraordinaire,multiple,authentique,spécifique,unique.,incomparable,atypique,unique.Ce,une,Seule,première,toute,seule.La,telle,cette,aucune,petite,vraie
case_1257,Specially,specialy,designed,specially-,desgined,specailly,speacially,specifically,deisgned,aspecially,Especially,particularly,Particularly,espeically,expecially,espcially,epecially,esp.,especiallly,particulary,spécifiquement,Spécialement,specialement,particulièrement,conçu,conçue,Particulièrement,conçus,principalement,conçues,mais,Surtout,aussi,justement,certes,car,autant,évidemment,paradoxalement,parce
case_1258,getting,got,want,gets,gotten,need,give,can,try,take,do,Go,to,going,'d,'t,be,on.Go,let,ahaed,obtention,obtienne,obtenant,fournir,réobtenir,donner,acquérir,exiger,obtenu,optenir,emmener,chercher,alller,venir,amener,irais,allé,irai,retourner,rentrer
case_1259,enought,enoug,enogh,sufficient,anough,enoguh,enoough,enouh,enough.If,eough,unsatisfactory,satifactory,Satisfactory,satisfactorily,dissatisfactory,satisfied,adequate,satisfactory.,satisfactory.The,satisfying,très,trop,relativement,suffisamment,extrêmement,peu,étonnamment,extrèmement,plus,suffisament,satisfaisante,satisfaisants,décevant,satisfaisantes,convenable,insatisfaisant,acceptable,correct,satisfaisant.,satisfait
case_1260,palce,places,place.This,place.The,plce,place.It,place--the,place-,place--and,plac,sqaure,sqare,squar,squre,square-,-square,square.The,sq.,squares,suare,endoit,emplacement,endroits,endroit.Le,endroit.,endroi,endroit.L',lieu,endroit-là,endroit.Il,carré.,rectangle,carrés,carrée,rectangulaire,rond,demi-carré,cube,Carré,carré-
case_1262,Besides,Aside,except,excepting,BESIDES,mention,besided,mentioning,excpet,namely,alos,aslo,additionally,likewise,may,which,have,always,certainly,has,revanche,effet,cependant,toutefois,également,néanmoins,notamment,Outre,ailleurs,ainsi,aussi,néanmoins,cependant,donc,notamment,toujours,ainsi,désormais,toutefois,certainement
case_1237,mcuh,MUCH,too,lot,more,far,less,muich,Much,considerably,faaaaaar,faaaar,faaaaar,farther,far.As,much,faaar,far.So,far.The,far.That,énormément,bcp,beacoup,énormement,beaucoups,peu,tellement,autant,enormément,aussi,loin.,loins,loin.Mais,loin.C',loin.Et,Loin,loin.On,loin.A,près,loind
case_1287,possibilty,possiblility,possibiity,possibity,possiblity,possiblilty,posibility,possibilities,possbility,possibility.The,opporunity,oppportunity,opportuntiy,oppurtunity,opportunitiy,oppotunity,opporutnity,opportunities,opportunty,opprtunity,possiblité,possibilté,posibilité,possibilitée,opportunité,envisager,possibilitéde,possibilités,Possibilité,possiblilité,occassion,ocasion,opportunité,occasionde,ocassion,occcasion,occasion.,occasions,occasion.A,occasion-là
case_1289,folllowing,follwing,folowing,Following,follwoing,followng,folloing,ollowing,followiing,followed,earlier,previoius,prevous,recent,previos,subsequent,preceding,pevious,prevoius,revious,suivants.,ultérieurs,relatifs,initiaux,précédents,susmentionnés,essentiels,additionnels,précités,importants,précedente,suivante,précédante,dernière,précédentes,précédente.,précédente.La,précédente1,précèdente,précédente2
case_1315,prepared,raring,prepped,Ready,readied,ready.I,primed,rarin,eager,ready.And,prepare,well-prepared,Prepared,ready,pre-pared,preparing,prepared.,prepped,perpared,readied,prêts,pret,Prêt,prête,prêt.Le,prêt.,prèt,prêtà,prêtes,prêtLe,préparée,concocté,préparés,élaboré,confectionné,preparé,présenté,préparées,servi,planifié
case_1316,peope,poeple,peole,people.People,people.Those,people.Some,peopel,folks,those,individuals,figures.The,figures-,figures.This,figures.,figures.But,figures.I,figures.It,figures.And,figures.In,figure,gents,gensses,gens-là,ceux,honnêtes,sgens,politiciens,personnes,gens.Les,citoyens,Chiffres,chiffes,chiffre,pourcentages,chifres,chiffres.,chiffres-là,nombres,hiffres,résultats
case_1318,Do,go,'t,want,don,know,so,if,I,think,entering,entered,re-enter,eneter,Enter,enter.The,enetered,reenter,Entering,enters,passer,fasse,fait,faisant,commencer,penser,continuer,Faire,demander,tenter,rentrer,Entrer,pénétrer,sortir,entré,ouvrir,introduire,renter,entrant,quitter
case_1319,materials,material.This,material.The,materal,material.It,materail,material.If,material.As,material--,material.I,equipments,equpment,equipement,equiptment,equpiment,eqipment,equiment,equipment.As,equipment.It,equipment.,materiel,matériels,équipement,matos,outillage,dumatériel,matèriel,matériel.,matérie,Matériel,équipements,matériel,equipement,Équipement,Equipement,équipemen,quipement,outillage,prééquipement,équippement
case_1320,scene.This,scene.It,scene.And,scene.What,scene.But,scene.The,scenes,scene--,scene.So,scene.When,stages,stage.The,stage.This,stage.In,stage.At,stage.It,Stage,stage.As,stage.When,stage.,scène.La,scéne,scene,scène.Le,scène.Et,scènette,mini-scène,scène.,théâtrale,scène-,Stade,stades,stadium,stade-vélodrome,velodrome,vélodrome,mini-stade,Stadium,stade-là,stade.
case_1321,Listed,lsited,listing,listed.I,list,listed.If,mentioned,listd,listed.,included,listend,Listened,listen,re-listened,listening,relistened,LISTENED,heard,listned,half-listened,mentionnés,listés,énumérées,décrits,définis,visés,spécifiés,évoqués,énoncés,énumérée,ecouté,réécouté,ré-écouté,écoutés,Ecouté,écouter,écoutée,réentendu,entendu,écouterai
case_1322,utilizing,Using,use,utilising,usind,employing,useing,usiing,usign,usuing,play,playng,palying,played,Playing,playiing,plaing,playig,playing.But,playing.The,Utilisant,combinant,employant,utlisant,utilise,appliquant,introduisant,enutilisant,fournissant,réutilisant,rejouer,jouant,joue,jouer.,jouer.Et,jouent,jouez,joué,jouer.Mais,amuser
case_1323,experiments,experiement,experiment.The,experiements,experimentation,Experiment,experimental,experiment-,experiment.,experiment.I,experiene,expereince,experince,exerience,expereience,experiece,experiences,expeience,experinece,eperience,experience,expèrience,expériences,Expérience,éxpérience,exprérience,éxperience,uneexpérience,expertise,expérience.Je,éprouve,ressentir,éprouvent,éprouvé,Eprouver,éprouvions,éprouverait,éprouvons,éprouviez,éprouve-t-il
